	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
1010	Chengwei Ventures, Shunwei Capital Partners	Uban (Youban)	Asia	East Asia	China	CHN	CN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Services	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Venture Capital	30	16-Nov	2016	0.0	
1011	Gobi Partners	We+	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1012	Ventech, China Growth Capital, IDG Capital Partners (IDGVC), Sinovation Ventures	MagMode	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	10	16-Nov	2016	0.0	
1013	China Growth Capital	Shenzhen Virtual Reality Technology	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Leisure Goods	Consumer Electronics	Household Durables	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		16-Nov	2016	0.0	
1014	Lightspeed Venture Partners, India Quotient, SAIF Partners	Mohalla Tech (ShareChat)	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	4	16-Nov	2016	0.0	
1015	IDG Ventures India	InfiSecure Technologies	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
1016	Ventech	Hornet Networks	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	8	16-Nov	2016	0.0	
1017	Blume Ventures, Beenext	Service Lee Technologies (Servify)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Nov	2016	0.0	
1018	Revo Capital, 500 Startups, Diffusion Capital Partners, Ribbit Capital	Parasut	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	16-Nov	2016	1.0	
1019	Delta Partners Capital, Mayfield Fund, Sequoia Capital, Trifecta Capital Partners	Knowlarity Communications	Asia	South Asia	India	IND	IN	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Private Equity	Venture Capital	19	16-Nov	2016	1.0	
1020	Redpoint eVentures	Pismo Solucoes	Latin America	South America	Brazil	BRA	BR	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
1021	Alpha JWC Ventures	Spacemob	Asia	Southeast Asia	Singapore	SGP	SG	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	6	16-Nov	2016	0.0	
1022	IGNIA Partners	Sr. Pago	Latin America	Central America	Mexico	MEX	MX	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1023	CDH Investments	Ednovation	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Buyout	14	16-Nov	2016	1.0	25.28802001
1024	Advantech Capital	XuanYiXia (Beijing) Technology (Miaopai)	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital		16-Nov	2016	0.0	
1025	Farallon Capital Management	Hindustan Clean Energy	Asia	South Asia	India	IND	IN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Private Credit	Debt		16-Nov	2016		
1026	Lightspeed Venture Partners, Matrix Partners	Hangzhou Yifangyun Network Technology (FangCloud Technology)	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	8	16-Nov	2016	0.0	
1027	RRJ Capital	Jubao Interconnection Technology	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	200	16-Nov	2016	0.0	
1028	SAIF Partners	Aye Finance	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital		16-Nov	2016	0.0	
1029	Kae Capital	Paradime Technologies (Numberz)	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
1030	Pagoda Investments, Softbank China Venture Capital (SBCVC)	Shanghai Jinwu Automotive Consulting Technology (ttpai.cn, Tiantian paiche)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Nov	2016	0.0	
1031	Sequoia Capital, Qualgro, Shunwei Capital Partners	PatSnap	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1032	ACON Investments	Dori Alimentos	Latin America	South America	Brazil	BRA	BR	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth		16-Nov	2016	0.0	
1033	Visionnaire Ventures, Andreessen Horowitz, Sequoia Capital	Zipline	Sub-Saharan Africa	East Africa	Rwanda	RWA	RW	Industrials	Industrial Goods & Services	Industrial Transportation	Delivery Services	Air Freight & Logistics	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital	25	16-Nov	2016	0.0	
1034	Ameba Capital	Beijing Dongru Tuotu Technology (Hotbody)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Nov	2016	0.0	
1035	Buran Venture Capital	Kopikot	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	4	16-Nov	2016	0.0	
1036	Gobi Partners	OnOnPay	Asia	Southeast Asia	Vietnam	VNM	VN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
1037	Joy Capital (Yuyue Capital)	Beijing Science and Technology Development (Haozu.com)	Asia	East Asia	China	CHN	CN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Services	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Venture Capital	15	16-Nov	2016	0.0	
1038	Shenzhen Costone Venture Capital	Guangzhou Iplas E-commerce	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Industrial Suppliers	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1039	ChinaEquity	Zhang Tong Jia Yuan	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	29	16-Nov	2016	0.0	
1040	Axon Partners Group, Velum Ventures	Asegurate Facil and Busqo.com	Latin America	South America	Colombia	COL	CO	Financials	Insurance	Nonlife Insurance	Insurance Brokers	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		16-Nov	2016	0.0	
1041	Sinovation Ventures, Zhenfund	Momenta	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	5	16-Nov	2016	1.0	
1042	Fortune Venture Capital	AllMobilize	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	15	16-Nov	2016	0.0	
1043	Warburg Pincus	Serenity Holding JV (w/ VinaCapital)	Asia	Southeast Asia	Vietnam	VNM	VN	Consumer Services	Travel & Leisure	Travel & Leisure	Hotels	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout		16-Nov	2016	0.0	
1044	East Ventures	Cicil	Asia	Southeast Asia	Indonesia	IDN	ID	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1045	Cherubic Ventures, WI Harper Group	Bitmark	Asia	East Asia	Taiwan	TWN	TW	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	16-Nov	2016	0.0	
1046	Aurus	EcoTR	Latin America	South America	Chile	CHL	CL	Industrials	Industrial Goods & Services	Support Services	Waste & Disposal Services	Commercial Services & Supplies	C Utilities	Utilities	Private Equity	Venture Capital	2	16-Nov	2016	0.0	
1047	General Atlantic	MAP Boga Adiperkasa (MBA)	Asia	Southeast Asia	Indonesia	IDN	ID	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Credit	Mezzanine	81	16-Nov	2016		
1048	Convergence Ventures, Wavemaker Partners	Helpster	Asia	Southeast Asia	Thailand	THA	TH	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	16-Nov	2016	0.0	
1049	PC Capital	Te Creemos	Latin America	Central America	Mexico	MEX	MX	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		16-Nov	2016	0.0	
1050	FIR Capital Partners	Myreks	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
1051	Mountain Nazca	Kavak	Latin America	Central America	Mexico	MEX	MX	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	3	16-Nov	2016	0.0	
1052	ACP	Apvera	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
1053	Gobi Partners	Favful	Asia	Southeast Asia	Malaysia	MYS	MY	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
1054	Sequoia Capital, Beenext, Helion Venture Partners	Zero Effort Technologies (Zefo)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Home Improvement Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	6	16-Nov	2016	0.0	
1055	Delta Partners Capital	STARZ Play Arabia	MENA	Middle East	United Arab Emirates	ARE	AE	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Growth		16-Nov	2016	0.0	
1056	IDG Ventures India, SAIF Partners	PlaySimple Games	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	4	16-Nov	2016	0.0	
1057	SMC Capital China	Shenzhen Huishoubao Tech	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Nov	2016	0.0	
1058	IDG Ventures India, Kalaari Capital	Active.ai	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	3	16-Nov	2016	0.0	
1059	Gobi Partners	IsItUp	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1060	Omnivore Capital Management Advisors	GramCover	Asia	South Asia	India	IND	IN	Financials	Insurance	Nonlife Insurance	Insurance Brokers	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	1	16-Nov	2016	0.0	
1061	General Atlantic	PNB Housing Finance	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Mortgage Finance	Thrifts & Mortgage Finance	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	75	16-Nov	2016	0.0	
1062	India Quotient	Highorbit Career (iimjobs)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	16-Nov	2016	0.0	
1063	China Broadband Capital (CBC), Shunwei Capital Partners	Beijing HZTF Capital	Asia	East Asia	China	CHN	CN	Financials	Insurance	Nonlife Insurance	Insurance Brokers	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	4	16-Nov	2016	0.0	
1064	Shenzhen Capital Group (SCGC)	Skycloud Software	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	4	16-Nov	2016	0.0	
1065	Arlon Capital Partners	Sotran	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Buyout		16-Nov	2016	0.0	
1066	Flint Capital	Blackmoon	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Financials	Financial Services	Nonequity Investment Instruments	Nonequity Investment Instruments	Capital Markets	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	3	16-Nov	2016	0.0	
1067	MBK Partners, TPG	Wharf T&T	Asia	East Asia	China	CHN	CN	Telecommunications	Telecommunications	Fixed Line Telecommunications	Fixed Line Telecommunications	Diversified Telecommunication Services	N Information	Information	Private Equity	Buyout	575	16-Nov	2016	0.0	
1068	Golden Brick Capital Management	Smartstudy.com	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Nov	2016	0.0	
1069	Ascendent Capital	BioChain (Beijing) Science and Technology	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	7	16-Nov	2016	0.0	
1070	CoreCo Holding	GRS Electronics	Latin America	Central America	Honduras	HND	HN	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Durable Household Products	Household Durables	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		16-Nov	2016	0.0	
1071	Equis	Redaya Energi - Tolo Wind Farm	Asia	Southeast Asia	Indonesia	IDN	ID	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth		16-Nov	2016	0.0	
1072	Wavemaker Partners	PortfolioQuest	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
1073	CyberAgent Ventures	Haruka Edukasi Utama (HarukaEdu)	Asia	Southeast Asia	Indonesia	IDN	ID	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	16-Nov	2016	0.0	
1074	Susa Ventures	JustRide	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	3	16-Nov	2016	0.0	
1075	Point Nine Capital	GoOpti	CEE & CIS	Central & Eastern Europe (CEE)	Croatia	HRV	HR	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	3	16-Nov	2016	0.0	
1076	BOV Capital	Omak Technologies	Asia	South Asia	Sri Lanka	LKA	LK	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
1077	Warburg Pincus	TrucksFirst Services (Rivigo)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Transportation	Delivery Services	Air Freight & Logistics	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital	75	16-Nov	2016	0.0	
1078	Vickers Venture Partners	GuavaPass	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	5	16-Nov	2016	0.0	
1079	IDG Ventures India, Accel Partners	Smartpaddle Technology (Bizongo)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	3	16-Nov	2016	0.0	
1080	Brookfield Asset Management	Mantiqueira Transmissora de Energia	Latin America	South America	Brazil	BRA	BR	Utilities	Utilities	Electricity	Conventional Electricity	Electric Utilities	V Electric Power	Utilities	Infrastructure & Real Assets	Buyout		16-Nov	2016	0.0	
1081	Antera Gestao de Recursos	Myleus Biotecnologia	Latin America	South America	Brazil	BRA	BR	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1082	TPG, DGF Investimentos, Redpoint eVentures	Resultados Digitais	Latin America	South America	Brazil	BRA	BR	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1083	Furui Fund (Frees Fund)	Beijing Parking Easy Information Technology	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Nov	2016	0.0	
1084	Sinovation Ventures	Zhufaner	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Nov	2016	0.0	
1085	Shenzhen Cowin Venture Capital	vTradEx Information Technology	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	PIPE		16-Nov	2016	0.0	
1086	Northstar Group	MG Group	Asia	Southeast Asia	Indonesia	IDN	ID	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		16-Nov	2016	0.0	
1087	Shenzhen Capital Group (SCGC)	Analysys International	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	13	16-Nov	2016	0.0	
1088	Gobi Partners	Travelling With	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1089	IFC Asset Management Company (AMC)	Network International	MENA	Middle East	United Arab Emirates	ARE	AE	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	17	16-Nov	2016	0.0	
1090	IGNIA Partners, Gerbera Capital, IGNIA Partners	Underdog Media	Latin America	Central America	Mexico	MEX	MX	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Venture Capital		16-Nov	2016	0.0	
1091	Legend Capital	Gfresh	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Nov	2016	0.0	
1092	Wamda Capital	Lunch:on	MENA	Middle East	United Arab Emirates	ARE	AE	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	1	16-Nov	2016	1.0	
1093	The Carlyle Group, The Carlyle Group, Vinci Partners	Uniasselvi	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		16-Nov	2016	0.0	
1094	IDG Capital Partners (IDGVC)	Beijing Qixin Zhucheng Information Technology (Kr Space)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Nov	2016	0.0	
1095	Joy Capital (Yuyue Capital), Capital Today, Morningside Ventures	XiaoZhu.com	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	65	16-Nov	2016	0.0	
1096	Catalyst Capital Group	Pacific Exploration & Production (Pacific E&P)	Latin America	-	Latin America Regional Investment	LAC		Oil & Gas	Oil & Gas	Oil & Gas Producers	Exploration & Production	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Credit	Debt	450	16-Nov	2016		
1097	Enterprise Investors	Wento	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	5	16-Nov	2016	0.0	
1098	Eos Capital	Welwitschia Private School	Sub-Saharan Africa	Southern Africa	Namibia	NAM		Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		16-Nov	2016	0.0	
1099	Northstar Group, DMP	Grain	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	16-Nov	2016	0.0	
