match_name|player_name|score
SHANXI YANGMEI CHEMICAL INTERNATIONAL BUSINESS CO., LTD.|Stars Business|73
|Starwind|-1
|Stellar Inv|-1
VIETTEL GROUP|Step Group|70
TAOBAO (CHINA) SOFTWARE CO., LTD.|Stochastics Software|57
GLOBAL BRANDS GROUP HOLDING LIMITED|Strategic Global|55
|Subway|-1
ZHEJIANG COMPREHENSIVE ASSETS OPERATION CO., LTD.|Sunar Assets|67
|Sunduzwayo|-1
|Sunpreme|-1
|Surgutneftegaz|-1
|Suryodaya|-1
|Susu Microfinance|-1
|Swadhaar (SFPL)|-1
|Swizza|-1
|Syncom|-1
|Tabac -Equity Bank|-1
|Talma|-1
|Tandu Alarm|-1
|tapucom|-1
|Target Cranes|-1
|Tascom|-1
|TatilSepeti|-1
|TBG|-1
|T-Bistro|-1
|TCBuen|-1
|TCX Portfolio|-1
TEKHNOSNAB|Teachable|53
|Tecpro Engineers|-1
CHINA SOUTHERN POWER GRID CO., LTD.|Tecpro Power|59
|TeleDNA|-1
|TeNet II|-1
|Teracom|-1
|Termoemcali|-1
|TESSOL|-1
K P M AGRO FOOD PRODUCTS PRIVATE LIMITED|The Ok Food Store Limited|65
THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED|The Vibe Limited|81
XIAMEN AIRLINES|Thimar Palestine|52
|Thriveni|-1
|Thyrocare|-1
|Tiangong|-1
|TiAuto|-1
NOBLE GROUP LIMITED|Tiba Group|67
|Tiejia|-1
|Tishona|-1
|TOG|-1
|TOG|-1
|Toitoi|-1
|Top League|-1
|Topcare Feeds|-1
FCA POLAND S.A.|Touax Africa|54
|Towndoor Media|-1
JOINT-STOCK COMPANY VTB CAPITAL|Trans Capital|70
|Tree Tops Academ|-1
TECH MAHINDRA LIMITED|Trendtech|53
|TriCity Platform|-1
|Triple P|-1
GLOBAL BRANDS GROUP HOLDING LIMITED|Tripsters GLobal|55
TRINA SOLAR CO., LTD.|T'sar Island|53
|Tsarichanskoye|-1
|TTPC|-1
|Tucan|-1
|Tujijenge|-1
|TV Club|-1
|TwinCare|-1
|TWU|-1
TENCENT HOLDINGS LIMITED|UAP Holdings|80
|UBA|-1
|UEP II|-1
|UHG|-1
|UISEE|-1
JOINT STOCK COMPANY THE STATE EXPORT-IMPORT BANK OF UKRAINE|Ukraine Direct|67
|ULA|-1
NOBLE GROUP LIMITED|Ulink Group|62
NOBLE GROUP LIMITED|Ultimo Group|65
|Universal Ind|-1
|Uno Bakery|-1
VIETTEL GROUP|Upiter|53
|Urbano|-1
LUKOIL-WEST SIBERIA LIMITED|UTB Sierra Leone|51
MUMT|UTS|57
|Vacmet|-1
|Validata|-1
|Varthana|-1
|Varthana|-1
|VBHC Education|-1
|Vcount|-1
|Veerhouse|-1
|VEIL C-Shares|-1
|Veil underlying|-1
|Vendebita|-1
|Venezia Ice|-1
|VentureEast Drug|-1
|VersaMe|-1
SAIC GENERL MOTORS CORP. LTD.|Vesta Corp|57
KIT FINANCE LTD|Vested Finance|69
|Vetauto|-1
|VGN|-1
CHINA SOUTHERN POWER GRID CO., LTD.|Viathan Power|56
|Vidal|-1
|Vidy V|-1
VIETTEL GROUP|Viena Group|75
|Vinafco|-1
|Vital|-1
|Vitalux|-1
|Vivaldroni|-1
|VivaLink|-1
CHINA ENERGY ENGINEERING CORPORATION LIMITED|Vivo  Energy|71
CHINA ENERGY ENGINEERING CORPORATION LIMITED|Vivo  Energy|71
|VMCEE|-1
THE SOCIETY WITH LIMITED AUTHRITY ALFA DIRECT SERVICE|VN Direct|80
|Vocate|-1
|Vodocanalstroy|-1
|Volga Gas|-1
TENCENT HOLDINGS LIMITED|Volga Sumo Holdings|59
|Volt|-1
|VTPL|-1
|VUS Holdco|-1
VIETNAM ELECTRICITY|VUS Vietnam|78
|V-Wallet|-1
TECH-COM (SHANGHAI) COMPUTER CO., LTD.|Vysr Tech|62
|WAL Zbird|-1
|Wanderu|-1
RELIANCE RETAIL VENTURES LIMITED|WatchBanQ Ventures|62
|Weiche|-1
|WeKair|-1
|Wellspring|-1
HUANENG POWER INTERNATIONAL, INC.|Wen Inc|60
|Wenice|-1
|WeShare|-1
|WestCall|-1
HCL EAGLE LIMITED|White Pole|52
|WriteLab|-1
|WriteLab|-1
|WWB|-1
|Wydr|-1
|XAC|-1
HUANENG POWER INTERNATIONAL, INC.|Xingin International|79
|XINJU|-1
|XXSekerbank|-1
|Yaowang|-1
|YiDingHuo|-1
|Yingliu|-1
|YKROK|-1
AGROKOR D.D.|York Park|56
|Zaitseva|-1
|Zamani|-1
|ZHIXIANG|-1
|Zhiyang|-1
|Zhuge IO|-1
|ZIP San Juan|-1
