match_name|player_name|score
GE INFRASTRUCTURE CENTRAL & EASTERN EUROPE HOLDING KORLATOLT FELELOSSEGU TARSASAG|Central Parking|64
HCL EAGLE LIMITED|Centrale Laitier|55
|Cepro|-1
|Ceprodel|-1
COPERSUCAR S.A.|Ceramica S.A|69
GRAND PETROCHEMICAL CO., LTD.|CGE Grand|71
|Chanero|-1
|Charlestown|-1
ALPHA BANK A.E.|Chase Bank Ke|59
CHINA RESOURCES CO., LTD.|CHC China|71
CNOOC CHINA LIMITED|Chemica Limited|71
FIORA SERVICES LIMITED|Chilon Security Services|57
CHINA FOODS LIMITED|China Digitone|67
CHINA EVERGRANDE GROUP|China Kanghui|57
HUADIAN COAL INDUSTRY GROUP CO., LTD.|China Tuna Industry Group Holdin|73
|Chuchujie|-1
|Ciel Healthcare|-1
|Ciel Healthcare|-1
SIG SIA|CISG|55
|Citivox|-1
|Ciudad Victoria|-1
|CKC|-1
|cKers|-1
XIAMEN AIRLINES|Cleanline Linen|60
|Cleopatra Hosp|-1
|Clickonero|-1
LIMITED LIABILITY COMPANY CREDIT SUISSE SECURITIES (MOSCOW)|Climb Credit|67
|CMF  STEOTI|-1
|COAC Jardin|-1
|Codoon|-1
|Coins|-1
|Comat|-1
|Comunidades|-1
CONCORD INVESTMENT (CHINA) CO., LTD.|Concord Enviro|67
|Connect|-1
TOYOTA MOTOR THAILAND CO LTD|Cont. Milano|51
CONTINENTAL AUTOMOTIVE CZECH REPUBLIC, S.R.O.|Continental Mach|81
CONTINENTAL AUTOMOTIVE CZECH REPUBLIC, S.R.O.|Continental Outdoor Media|61
|Controladora II|-1
ZIJIN COPPER CO., LTD.|Convert.com|53
|Convertergy|-1
|Cookhouse|-1
ANBANG PROPERTY & CASUALTY INSURANCE CO., LTD.|Corner Insurance|72
CPC CORPORATION, TAIWAN|Cornerstone_CAPIC Fund|55
TRINA SOLAR CO., LTD.|Cosse-ter Ltd|65
|Cotech|-1
CHINA NATIONAL BUILDING MATERIAL COMPANY LIMITED|CPS Building Con|67
|Crecer Bolivia|-1
|Crederity|-1
LIMITED LIABILITY COMPANY ATON|Credibility A.T|53
|CrediCampo|-1
|Crezcamos|-1
|Ctrip|-1
|Cywee|-1
|Daawat|-1
|DAC NPL Pool|-1
|Dalio/Avis|-1
CHINA SHIPPING GROUP COMPANY|DalRybProm Fishing Company|63
|DataSpace|-1
|DayHR|-1
|DCM|-1
|Deacons|-1
|Deep Drilling|-1
|Delifrost|-1
|Deltaridge|-1
|DFM|-1
|DGCity Beauty|-1
|Dianwoba|-1
|Diaspora Design|-1
SKYWORTH DIGITAL HOLDINGS LIMITED|Digital Domain|67
HUANENG POWER INTERNATIONAL, INC.|Ding Ji International|76
|Directel|-1
|DISA|-1
|Distressed pool|-1
|DIY|-1
|Doga Schools|-1
|Dominos Pizza|-1
GOME RETAIL HOLDINGS LIMITED|Douala Retail|63
VIPSHOP (CHINA) CO., LTD.|Dr Pius Chilonda|56
|Dream 11|-1
|Dreamlabs|-1
PRADA S.P.A.|Dufa Romania SRL|52
|DUMMY - Medall|-1
|Durja|-1
|Dynamic FM|-1
|E2E infra|-1
|Ealong Biotech|-1
KAZTSINK|Easyhin|53
CGN POWER CO., LTD|Eaton Towers Ltd|62
|Ebes|-1
|EcoBank Trans...|-1
|Ecospan|-1
|Edmodo|-1
|Educents|-1
|EduPristine|-1
FENGFAN CO., LTD.|EEA Kenya Ltd|59
|EFFCO Soln|-1
|Ehoutai|-1
|eJiuPi|-1
|Eleni Gabre|-1
|Elohim|-1
|Elris|-1
|Elton Int|-1
|EM Bonds|-1
|Emilda C Kotokwa|-1
|Empower|-1
|Empowerex Trd|-1
|Encognition|-1
|Encube|-1
|Engro Asahi|-1
|EnviroServe|-1
|Envizio, Inc.|-1
|EPL|-1
|Equator Apparels|-1
|Equitas MFI|-1
|Ergos|-1
|ESPRIT Tunis|-1
BEIJING JINGDONG CENTURY TRADING CO., LTD.|Estrell Trading Co|71
TAIWAN POWER COMPANY|ETI (Ecobank)|52
CNMC ALBETTER ALBRONZE CO., LTD.|eTranzact G Ltd|55
CRBS S/A|Ets BIS|53
|Europlan|-1
|Everest Edusys|-1
|Evolvence|-1
SINOPEC SALES CO., LTD.|Exact Sales|62
XIAMEN AIRLINES|Exim Bank Vietna|52
|ExpertPhoto|-1
|Exploramed|-1
|Extended Suites|-1
|Extong|-1
|Ezysolare|-1
|Fabrar Rice|-1
CHINA CINDA ASSET MANAGEMENT CO., LTD|Facility Management Co.|74
|FADES|-1
AUSIRIS CO LTD|Fairfield|52
|Falcon|-1
|Fasten|-1
BEIJING JINGDONG CENTURY TRADING CO., LTD.|Fawaz Trading|70
|Fawry|-1
|FDD|-1
FENGFAN CO., LTD.|Fengguang BioFan|53
|FERCO|-1
LA SOCIETE A RESPONSABILITE LIMITEE AUCHAN|Ferlo Societe|70
|FFM/FestivalMall|-1
|FibreCo|-1
SONANGOL, EP - SOCIEDADE NACIONAL DE COMBUSTIVEIS DE ANGOLA|Fibrex Angola|63
CHINA CONSTRUCTION FIFTH ENGINEERING DIVISION CO., LTD.|Fifth Season|59
|Fillr|-1
KIT FINANCE TRADE ( LIMITED LIABILITY COMPANY )|Finance Salone|67
KIT FINANCE LTD|Finapack|52
|Finestrella|-1
|Fintech Innovation Program|-1
FIRST GULF BANK PJSC|First City Bank|80
|First Hydro FHN|-1
|First Hydro FHN|-1
|Flareum|-1
|FLASHHOLD|-1
|Flemingo|-1
|Fluent City|-1
|FM Plastic|-1
DELL (CHINA) CO., LTD.|Fogo de Chao|55
|Folti|-1
|Food Svc HORACEA|-1
|Forecast|-1
CHINA RESOURCES POWER INVESTMENT COMPANY LIMITED|Frank & T Investment Limited|82
|Fruehauf|-1
CHINA UNITED NETWORK COMMUNICATIONS CORPORATION LIMITED|Funshion Network|61
SIMON INDIA LIMITED|Futian (Midsino)|55
|Futurus|-1
|FVCI|-1
|Gameplay|-1
GLOBAL BRANDS GROUP HOLDING LIMITED|Gap Year Global|57
|Garden City Business Park|-1
|Gate Healthcare Pak|-1
|GATEX|-1
|G-banker|-1
PETROLEOS MEXICANOS|GEB Gimnasios Americanos|56
|Gee Fresh|-1
HUAWEI INVESTMENT & HOLDING CO., LTD.|Geeks Holding|70
|Geli|-1
|GEMET|-1
ALPIQ ENERGY SE|Geneze S.A.|56
|GENHIDRO|-1
|Gerant de Leternel|-1
PERTAMINA, PT (PERSERO)|Gerber Plant|56
|GJEL|-1
|GJRL|-1
|Glowship|-1
|glrl|-1
|GMR|-1
SHENHUA TRADING GROUP EAST ENERGY CO., LTD.|GNG East|67
|Gogo Time|-1
|Golden Lay|-1
|Golf Ice Cream|-1
LONGFOR PROPERTIES CO. LTD.|Green Alternative properties ltd|72
NORTHERN POWER CORPORATION|Green Power Corp|67
|Greensync|-1
|GroGhana|-1
|GroKenya|-1
NIGERIA LNG LIMITED|GroNigeria|55
AGROKOR D.D.|GroRwanda|56
|GroSouth|-1
|GroTanz|-1
|GroUganda|-1
NOBLE GROUP LIMITED|Group M&N|71
|GroZambia|-1
CHINA ENERGY ENGINEERING CORPORATION LIMITED|GSR Energy|75
|GTA|-1
|Guardian (GNPL)|-1
|GUEL|-1
|Guiyang Huochebang|-1
ZHEJIANG HENGYI GROUP CO., LTD.|Gushengtang|51
|GVL Homebuilding|-1
|Handy|-1
|Haplox|-1
|Hazelcast|-1
|HCM|-1
|HCM Retailer|-1
|HDC|-1
HAILIANG GROUP CO., LTD.|Headland Corp.|65
|Helios Towers AF|-1
|Hexis|-1
|HFC|-1
VIETTEL GROUP|Higher Ground|54
SANDS CHINA LTD|Hildebrando|54
|HiPT|-1
TINGYI (CAYMAN ISLANDS) HOLDING CORPORATION|HMY cayman|75
|Hope Bakery|-1
|Hotels In.|-1
|HRLV|-1
HUANENG POWER INTERNATIONAL, INC.|Huaneng|100
|HYCO SARL|-1
|Hygrotech|-1
|Hyperkey|-1
LI & FUNG LIMITED|I & G Tech (ITS)|52
|IATAI|-1
SODIMAC SA|ICMC Cambodia|52
|iDwala|-1
|IEX|-1
|IEX|-1
|IFB (education)|-1
|IFMR (KGFS)|-1
CHINA RESOURCES CO., LTD.|IGE Resources|82
|IHH-USS|-1
|IHS Fund II SA  PVE|-1
|IHS Fund II SA Rental Trust 4|-1
HUAWEI INVESTMENT & HOLDING CO., LTD.|IHS Holding Ltd|85
HUAWEI INVESTMENT & HOLDING CO., LTD.|IHS Holding Ltd|85
HUAWEI INVESTMENT & HOLDING CO., LTD.|IHS Holding Ltd|85
|IMCH3|-1
|Impartus|-1
|Impremerie|-1
|IndiaMart|-1
|Indo Minerals|-1
NIGERIA LNG LIMITED|Indorama Nigeria|61
|Infopress|-1
|Innov|-1
|Inocur|-1
|Intaj|-1
|Intellicare|-1
|Intercity|-1
