	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
10039	SAIF Partners	China TransInfo Technology	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	PIPE	10	10-Feb	2010	0.0	
10040	VinaCapital	Twenty-Four Technology Solutions (TS24)	Asia	Southeast Asia	Vietnam	VNM	VN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		10-Feb	2010	0.0	
10041	Actis	Integreon	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	50	10-Feb	2010	0.0	
10042	Leopard Capital	ACLEDA Bank	Asia	Southeast Asia	Cambodia	KHM	KH	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	3	10-Feb	2010	1.0	
10043	Innova Capital	Libet	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Buyout		10-Feb	2010	0.0	
10044	Asset Reconstruction Company of India (Arcil)	Himachal Futuristic Communications	Asia	South Asia	India	IND	IN	Technology	Technology	Technology Hardware & Equipment	Telecommunications Equipment	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		10-Feb	2010	0.0	
10045	Softbank China Venture Capital (SBCVC)	Suzhou Natong Bionanotechnology	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Medical Supplies	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Venture Capital		10-Feb	2010	0.0	
10046	Lok Capital	RuralShores Business Services	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		10-Feb	2010	1.0	1.3
10047	TPG	China NT Pharma	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	Food & Drug Retailers	Drug Retailers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	10	10-Feb	2010	0.0	50.5
10048	China Renaissance Capital Investment (CRCI)	China First Chemical Holdings	Asia	East Asia	China	CHN	CN	Basic Materials	Chemicals	Chemicals	Specialty Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	Growth	40	10-Feb	2010	0.0	
10049	Monashees Capital	Keepcon	Latin America	South America	Brazil	BRA	BR	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Growth		10-Feb	2010	0.0	
10050	Adenia Partners	Ciel Textile	Sub-Saharan Africa	East Africa	Mauritius	MUS	MU	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	PIPE		10-Feb	2010	0.0	6.449769813
10051	Ambit Pragma Ventures	Beams Hospitals	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	12	10-Feb	2010	1.0	
10052	Cordiant Capital	Kosmos Energy	Sub-Saharan Africa	West Africa	Ghana	GHA	GH	Oil & Gas	Oil & Gas	Oil & Gas Producers	Exploration & Production	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Credit	Debt	10	10-Jan	2010		
10053	Mediterrania Capital Partners	Soroa Pepinieres	MENA	North Africa	Morocco	MAR	MA	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Venture Capital		10-Jan	2010	0.0	
10054	Darby Private Equity	Prestolite Electric Beijing (PECH)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Electronic & Electrical Equipment	Electronic Equipment	Electrical Equipment	M Industrial & Consumer Products	Industrial & Consumer Products	Private Credit	Mezzanine	34	10-Jan	2010		
10055	Sequoia Capital	Dongpeng Holding	Asia	East Asia	China	CHN	CN	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Venture Capital	30	10-Jan	2010	0.0	
10056	Legend Capital	Beijing Pony Media Culture Development (Damai.cn)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		10-Jan	2010	0.0	
10057	SoftBank Ventures Korea (SBVK)	SundayToz	Asia	East Asia	South Korea	KOR	KR	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital		10-Jan	2010	0.0	30.78242574
10058	Trustbridge Partners (TBP Capital)	Shaanxi Kanghui Pharmaceutical	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	7	10-Jan	2010	0.0	
10059	True North (formerly IVFA)	Mahindra Hinoday Industries	Asia	South Asia	India	IND	IN	Consumer Goods	Automobiles & Parts	Automobiles & Parts	Auto Parts	Auto Components	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	6	10-Jan	2010	0.0	
10060	Legend Capital, Hony Capital	Shandong Linglong Tyre	Asia	East Asia	China	CHN	CN	Consumer Goods	Automobiles & Parts	Automobiles & Parts	Tires	Auto Components	L Plastics & Rubber	Plastics & Rubber	Private Equity	Growth		10-Jan	2010	0.0	
10061	Olympus Capital Asia, Mount Kellett Capital Management	China Jinjiang Environment Holding	Asia	East Asia	China	CHN	CN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth		10-Jan	2010	0.0	
10062	Maj Invest	Satin Creditcare	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	5	10-Jan	2010	1.0	43.7487005
10063	Actera Group	Mars Cinema Group	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Consumer Services	Travel & Leisure	Travel & Leisure	Recreational Services	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout		10-Jan	2010	0.0	800.0
10064	New Enterprise Associates (NEA)	Hygeia Medical Service Group	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		10-Jan	2010	0.0	
10065	Qiming Venture Partners	BTR China	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Nondurable Household Products	Household Durables	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		10-Jan	2010	0.0	0.799271081
10066	Matrix Partners	Lizhi.FM	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Venture Capital		10-Jan	2010	0.0	
10067	CITIC Private Equity Funds Management	Beijing GeoEnviron Engineering and Technology (BGE)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Waste & Disposal Services	Commercial Services & Supplies	C Utilities	Utilities	Private Equity	Growth		10-Jan	2010	0.0	
10068	Sequoia Capital	India Shelter Finance	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Mortgage Finance	Thrifts & Mortgage Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	6	10-Jan	2010	0.0	
10069	Leadyond Capital	NSFocus Information Technology	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	7	10-Jan	2010	0.0	22.41329722
10070	Shenzhen Green Pine Capital Partners	Liaoning Kelong Fine Chemical	Asia	East Asia	China	CHN	CN	Basic Materials	Chemicals	Chemicals	Specialty Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	Growth	5	10-Jan	2010	0.0	
10071	Tiger Global Management	JD.com	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	150	10-Jan	2010	1.0	564.7
10072	Warburg Pincus	PW Medtech Group	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Growth		10-Jan	2010	0.0	129.0042929
10073	Emerging Capital Partners (ECP)	La Nouvelle Societe Interafricaine d'Assurance Participations (NSIA)	Sub-Saharan Africa	West Africa	Cote d'Ivoire	CIV	CI	Financials	Insurance	Nonlife Insurance	Full Line Insurance	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		10-Jan	2010	1.0	
10074	Redpoint Ventures	Miaozhen Systems	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	5	10-Jan	2010	0.0	
10075	Shanghai Ling Rui Vnture Capital Management	Shanghai LongYun Advertising and Media	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Growth	2	10-Jan	2010	0.0	
10076	Brummer & Partners	Ananta Apparels	Asia	South Asia	Bangladesh	BGD	BD	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Growth		10-Jan	2010	1.0	
10077	Norwest Venture Partners (NVP)	Brite Semiconductor	Asia	East Asia	China	CHN	CN	Technology	Technology	Technology Hardware & Equipment	Semiconductors	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		10-Jan	2010	0.0	
10078	CDH Investments	Shanghai Qijia Network Information Science & Technology (Jia.com)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Home Improvement Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		10-Jan	2010	0.0	
10079	JD Capital (Jiuding Capital)	Guangxi Liuzhou Pharmaceutic	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth		10-Jan	2010	0.0	3.883905369
10080	Foresight Capital Partners	PROMT	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		10-Jan	2010	0.0	
10081	3V SourceOne Capital	China SOE	Asia	East Asia	China	CHN	CN	Basic Materials	Chemicals	Chemicals	Specialty Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	Growth		10-Jan	2010	0.0	
10082	Foresight Capital Partners	RosEvroBank	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		10-Jan	2010	0.0	
10083	Kalaari Capital	Apalya Technologies	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Growth	8	10-Jan	2010	0.0	
10084	UOB Venture Management	Creative Power Entertaining Co.	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Growth		10-Jan	2010	0.0	
10085	UFG Asset Management	Rising Star Media	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Travel & Leisure	Travel & Leisure	Recreational Services	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		10-Jan	2010	0.0	
10086	WI Harper Group	Changzhou CTC Technical Fabrics	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		10-Jan	2010	0.0	
10087	GSR Ventures	HUBS1	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		10-Jan	2010	0.0	
10088	Nine Rivers Capital	GPT Infraprojects	Asia	South Asia	India	IND	IN	Industrials	Construction & Materials	Construction & Materials	Heavy Construction	Construction & Engineering	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Infrastructure & Real Assets	Growth	6	10-Jan	2010	0.0	
10089	Northern Light Venture Capital (NLVC)	City Media	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Growth	30	10-Jan	2010	0.0	
10090	Bain Capital	Himadri Chemicals	Asia	South Asia	India	IND	IN	Basic Materials	Chemicals	Chemicals	Commodity Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	PIPE	54	10-Jan	2010	0.0	9.102298306
10091	TA Associates	Micromax Informatics	Asia	South Asia	India	IND	IN	Technology	Technology	Technology Hardware & Equipment	Telecommunications Equipment	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	45	10-Jan	2010	0.0	
10092	Sequoia Capital	Masa Maso	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	10	10-Jan	2010	0.0	
10093	IDG Ventures India	iCreate Software	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	3	10-Jan	2010	0.0	
10094	SeaBright Capital Management, AsiaVest Partners, IPV Capital (Infotech)	iSoftStone Holdings	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	38	10-Jan	2010	0.0	
10095	Globespan Capital Partners, Charles River Ventures, Helion Venture Partners	SMS GupShup	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	12	10-Jan	2010	0.0	
10096	Cathaya Capital	Asia Pacific Medical Group (APMG)	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	25	10-Jan	2010	0.0	
10097	Enterprise Investors	Orbis Travel	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout		10-Jan	2010	0.0	
10098	Subhkam Ventures	Nagarjuna Agri Tech	Asia	South Asia	India	IND	IN	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth		10-Jan	2010	0.0	
10099	Zephyr Peacock India	Metro Telworks	Asia	South Asia	India	IND	IN	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Private Equity	Growth		10-Jan	2010	1.0	
10100	Baltcap Management	Magnetic MRO	CEE & CIS	Central & Eastern Europe (CEE)	Estonia	EST	EE	Industrials	Industrial Goods & Services	Industrial Engineering	Commercial Vehicles & Trucks	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Buyout		10-Jan	2010	0.0	
10101	Insight Venture Partners	6waves Lolapps	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	18	10-Jan	2010	0.0	
