	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
10000	Russia Partners, Bessemer Venture Partners	Parallels	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		10-Feb	2010	1.0	
10001	African Capital Alliance	Linetrale Gas	Sub-Saharan Africa	West Africa	Nigeria	NGA	NG	Oil & Gas	Oil & Gas	Oil & Gas Producers	Integrated Oil & Gas	Oil, Gas & Consumable Fuels	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Growth	2	10-Feb	2010	1.0	
10002	Aavishkaar Venture Management	B2R (Back to Rural)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.2	10-Feb	2010	0.0	0.14910442699999998
10003	Value4Capital	Fornetti Polska	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout		10-Feb	2010	0.0	
10004	Invest Tech Investimentos e Participacoes	Navita	Latin America	South America	Brazil	BRA	BR	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Private Equity	Growth	3	10-Feb	2010	0.0	
10005	Gaja Capital Partners	RBL Bank	Asia	South Asia	India	IND	IN	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		10-Feb	2010	1.0	65.22019335
10006	Creation Investments Capital Management	NOA	CEE & CIS	Central & Eastern Europe (CEE)	Albania	ALB	AL	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Buyout	8	10-Feb	2010	0.0	
10007	Creation Investments Capital Management	Forus Bank	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Buyout	3	10-Feb	2010	0.0	
10008	Creation Investments Capital Management	Inicjatywa Mikro	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Buyout	3	10-Feb	2010	0.0	
10009	Samara Capital Partners	Asian Oilfield Services	Asia	South Asia	India	IND	IN	Oil & Gas	Oil & Gas	Oil & Gas Producers	Exploration & Production	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	PIPE	5	10-Feb	2010	1.0	4.45318584
10010	CCB International (CCBI)	Trauson Holdings	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Growth	17	10-Feb	2010	0.0	
10011	Promotora	Digiware	Latin America	South America	Colombia	COL	CO	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		10-Feb	2010	0.0	
10012	Nexxus Capital	Grupo Hotelero Santa Fe	Latin America	Central America	Mexico	MEX	MX	Consumer Services	Travel & Leisure	Travel & Leisure	Hotels	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	29	10-Feb	2010	0.0	
10013	Templeton Asset Management (TAML)	Shifang Holding	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Growth	10	10-Feb	2010	0.0	
10014	Grupo ECOS	Green Guatemala	Latin America	Central America	Guatemala	GTM	GT	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Private Equity	Growth		10-Feb	2010	0.0	
10015	Quadria Capital Investment Management	HealthCare Global Enterprises	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	7	10-Feb	2010	0.0	61.04751604
10016	CELFIN Capital	Clinicas Las Condes	Latin America	South America	Chile	CHL	CL	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	37	10-Feb	2010	0.0	
10017	Almaz Capital Partners	Alawar Entertainment	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	3	10-Feb	2010	0.0	
10018	Eton Park Capital Management	HydroChile	Latin America	South America	Chile	CHL	CL	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Buyout	200	10-Feb	2010	0.0	
10019	Providence Equity Partners	iQiyi	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Growth	50	10-Feb	2010	0.0	
10020	IGNIA Partners	Mexicana de Servicios para la Vivienda (MeXvi)	Latin America	Central America	Mexico	MEX	MX	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Home Construction	Household Durables	D Construction and Real Estate	Construction and Real Estate	Private Equity	Growth	5	10-Feb	2010	1.0	
10021	EXEO Capital	Dew Crisp	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		10-Feb	2010	1.0	
10022	Motilal Oswal Private Equity	Minda Industries (NK Minda Group)	Asia	South Asia	India	IND	IN	Consumer Goods	Automobiles & Parts	Automobiles & Parts	Automobiles	Automobiles	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	PIPE	9	10-Feb	2010	0.0	
10023	The Abraaj Group	Minnow Marine Projects	MENA	Middle East	United Arab Emirates	ARE	AE	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout		10-Feb	2010	0.0	
10024	IDG Capital Partners (IDGVC)	Wuhan HC SemiTek	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Electronic & Electrical Equipment	Electrical Components & Equipment	Electrical Equipment	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	22	10-Feb	2010	0.0	
10025	Quadrangle Capital Partners	Tower Vision India	Asia	South Asia	India	IND	IN	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Infrastructure & Real Assets	Growth	300	10-Feb	2010	0.0	
10026	Advent International	Centrul Medial Unirea (Regina Maria)	CEE & CIS	Central & Eastern Europe (CEE)	Romania	ROU	RO	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Buyout		10-Feb	2010	0.0	
10027	Keytone Ventures	Travelzen	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		10-Feb	2010	0.0	
10028	Spring Capital Asia	Qingdao Wuxiao Group	Asia	East Asia	China	CHN	CN	Oil & Gas	Oil & Gas	Alternative Energy	Renewable Energy Equipment	Independent Power and Renewable Electricity Producers	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		10-Feb	2010	0.0	
10029	Fairwinds Private Equity	Fame India	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Recreational Services	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	PIPE		10-Feb	2010	0.0	
10030	Kibo Capital Partners	I&M Bank (Tanzania)	Sub-Saharan Africa	East Africa	Tanzania	TZA	TZ	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		10-Feb	2010	0.0	
10031	The Abraaj Group	Shanghai Fucheng Environmental Protection Engineering Co. Ltd. (SHFC)	Asia	East Asia	China	CHN	CN	Utilities	Utilities	Gas, Water & Multi-utilities	Water	Water Utilities	C Utilities	Utilities	Private Equity	Growth	3	10-Feb	2010	0.0	
10032	Global Environment Fund (GEF)	UPC Renewables China Holdings	Asia	East Asia	China	CHN	CN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	30	10-Feb	2010	1.0	
10033	ABRT Venture Fund, Mangrove Capital Partners	Drimmi.com	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		10-Feb	2010	0.0	
10034	Gobi Partners	Yoyi Media	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital		10-Feb	2010	0.0	
10035	Helion Venture Partners, Bessemer Venture Partners	NetAmbit	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	11	10-Feb	2010	1.0	
10036	Stratus Group	Amyris Brasil	Latin America	South America	Brazil	BRA	BR	Basic Materials	Chemicals	Chemicals	Specialty Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	Growth	5	10-Feb	2010	0.0	
10037	UFG Asset Management	Russian Towers	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Private Equity	Growth	30	10-Feb	2010	0.0	
10038	Euroventures Ukraine (EVU)	Vitalux	CEE & CIS	Commonwealth of Independent States (CIS)	Ukraine	UKR	UA	Consumer Services	Retail	Food & Drug Retailers	Drug Retailers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Buyout		10-Feb	2010	1.0	
