	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
2000	EQT	In.Corp Group	Asia	Southeast Asia	Singapore	SGP	SG	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		16-Apr	2016	0.0	
2001	Blume Ventures	MPaani Solutions	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital		16-Apr	2016	0.0	
2002	Mayfield Fund	Delightful Gourmet (Licious)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	3	16-Apr	2016	0.0	
2003	The Rohatyn Group	Camargo II	Latin America	Central America	Mexico	MEX	MX	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	45	16-Apr	2016	0.0	
2004	Harvest Capital	Xiamen Meitu Networks Technology	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Apr	2016	0.0	
2005	Maverick Capital, Sequoia Capital	Bright Lifecare (1MG Technologies)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	Food & Drug Retailers	Drug Retailers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	15	16-Apr	2016	0.0	
2006	GRC SinoGreen, DT Capital Partners, Zero2IPO Ventures	Weiche	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	24	16-Apr	2016	1.0	
2007	Genesis Capital (Yuansheng Capital), DCM, Eastern Bell Venture Capital	Truck Alliance (56qq.cn, Huochebang)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital	35	16-Apr	2016	1.0	
2008	The Abraaj Group, B Capital Group, Monk's Hill Ventures	Ninja Van (Ninja Logistics)	Asia	Southeast Asia	Singapore	SGP	SG	Industrials	Industrial Goods & Services	Industrial Transportation	Delivery Services	Air Freight & Logistics	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital		16-Apr	2016	1.0	
2009	ClearVue Partners, Softbank China Venture Capital (SBCVC)	Yummy Express (Meishisong.cn)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	10	16-Apr	2016	0.0	
2010	Tiger Global Management, IDG Ventures India	NestAway Technologies	Asia	South Asia	India	IND	IN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Services	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Venture Capital	30	16-Apr	2016	0.0	
2011	Alpha JWC Ventures	Modalku	Asia	Southeast Asia	Indonesia	IDN	ID	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	1	16-Apr	2016	0.0	
2012	East Ventures	Rekruta	Asia	Southeast Asia	Indonesia	IDN	ID	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Apr	2016	0.0	
