	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
2013	AppWorks Ventures	Fashionguide.com.tw	Asia	East Asia	Taiwan	TWN	TW	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital		16-Apr	2016	0.0	
2014	Kibo Capital Partners	General Cargo Group	Sub-Saharan Africa	East Africa	Kenya	KEN	KE	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth		16-Apr	2016	1.0	
2015	TPG, Morgan Stanley Private Equity Asia (MSPEA)	Janalakshmi Financial Services	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	150	16-Apr	2016	1.0	4.136299299999999
2016	Forebright Capital Management	Jinpan International	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Electronic & Electrical Equipment	Electrical Components & Equipment	Electrical Equipment	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Buyout	28	16-Apr	2016	0.0	
2017	Tiantu Xingye Venture Capital (Tiantu Capital)	Juanpi.com	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Apr	2016	0.0	
2018	Steamboat Ventures, Northern Light Venture Capital (NLVC)	Beijing Guogan Shidai Technology (MAMA+)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	10	16-Apr	2016	0.0	
2019	Shunwei Capital Partners, Morningside Ventures	Omni Prime	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital		16-Apr	2016	0.0	
2020	IDG Capital Partners (IDGVC)	Nanjing Emicnet Network Technology	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	20	16-Apr	2016	0.0	
2021	ALLVP (Venture Partners Mexico), Accel Partners, Creandum, Jackson Square Ventures	Cornershop	Latin America	-	Latin America Regional Investment	LAC		Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	7	16-Apr	2016	0.0	
2022	Kaizen Private Equity, Elevar Equity, Zephyr Peacock India	Thirumeni Finance (Varthana)	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	14	16-Apr	2016	1.0	
2023	IDG Capital Partners (IDGVC), China Growth Capital	Lianshang.com	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Venture Capital	15	16-Apr	2016	0.0	
2024	NewMargin Ventures	Shanghai Migang Internet Financial Information Service	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	9	16-Apr	2016	0.0	
2025	Matrix Partners	Peijia Medical	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Venture Capital		16-Apr	2016	0.0	
2026	IGNIA Partners	Aqua Sustenable Tres (AS3)	Latin America	Central America	Mexico	MEX	MX	Industrials	Construction & Materials	Construction & Materials	Heavy Construction	Construction & Engineering	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Credit	Mezzanine	0.4	16-Apr	2016		
2027	CyberAgent Ventures	Kyna.vn	Asia	Southeast Asia	Vietnam	VNM	VN	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Apr	2016	0.0	
2028	SAIF Partners, WI Harper Group	Gexin Interactive Network Technology (Igetui.com)	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Apr	2016	0.0	
2029	Unison Capital	Apelgamo	Asia	East Asia	South Korea	KOR	KR	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Buyout	35	16-Apr	2016	0.0	
2030	XSML	NRJ	Sub-Saharan Africa	Central Africa	Democratic Republic of the Congo	COD	CD	Industrials	Industrial Goods & Services	Industrial Transportation	Trucking	Road & Rail	E Transportation and Warehousing	Transportation and Warehousing	Private Credit	Mezzanine		16-Apr	2016		
2031	Canbank Venture Capital	Him Teknoforge	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	3	16-Apr	2016	0.0	1.1711125690000002
2032	Innova Capital	Netsprint Group	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Growth		16-Apr	2016	0.0	
2033	Walden International, Phillip Private Equity	TabSquare	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	3	16-Apr	2016	0.0	
2034	Tiantu Xingye Venture Capital (Tiantu Capital)	FreshMarket	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Apr	2016	0.0	
2035	Patria Investimentos	Argo	Latin America	South America	Brazil	BRA	BR	Utilities	Utilities	Electricity	Conventional Electricity	Electric Utilities	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	574	16-Apr	2016	0.0	
2036	Convergence Partners	e4 Strategic	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout		16-Apr	2016	1.0	
2037	Advantech Capital, China Broadband Capital (CBC), China Growth Capital, IDG Capital Partners (IDGVC), Linear Venture, Qiming Venture Partners	Hangzhou Tongdun Technology (Fraud Metrix)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	32	16-Apr	2016	0.0	
2038	Prime Venture Partners	Minions Ventures (KredX)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Apr	2016	0.0	
2039	Darby Private Equity	Fifor Polska	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Credit	Debt		16-Apr	2016		
2040	Matrix Partners	Shenzhen Huoli Tianhui Technology (Flights Manager, Hangban)	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Apr	2016	0.0	
2041	Warburg Pincus	Mofang Apartment Management	Asia	East Asia	China	CHN	CN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Holding & Development	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Growth		16-Apr	2016	0.0	
2042	Mizuho Bank	Pham Nguyen Confectionery	Asia	Southeast Asia	Vietnam	VNM	VN	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth	9	16-Apr	2016	0.0	
2043	Sequoia Capital, AirTree Ventures, Beenext	90 Seconds	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	8	16-Apr	2016	0.0	
2044	Gobi Partners	PicMix	Asia	Southeast Asia	Indonesia	IDN	ID	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Apr	2016	0.0	
2045	500 Startups	Dyad (formerly ChaseFuture)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	16-Apr	2016	0.0	
2046	Vantage Capital	Landmark Africa	Sub-Saharan Africa	West Africa	Nigeria	NGA	NG	Financials	Real Estate	Real Estate Investment & Services	Real Estate Holding & Development	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Credit	Mezzanine	20	16-Apr	2016		
2047	Matrix Partners	Diyi Chedai	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital		16-Apr	2016	0.0	
2048	IGNIA Partners	Procesa Chiapas	Latin America	Central America	Mexico	MEX	MX	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Venture Capital	5	16-Apr	2016	1.0	
2049	Phoenix Capital Management	Surfline Communications	Sub-Saharan Africa	West Africa	Ghana	GHA	GH	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Private Equity	Growth	6	16-Apr	2016	0.0	
2050	IFC Asset Management Company (AMC)	Net1 UEPS Technologies	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	78	16-Apr	2016	0.0	125.0
2051	Portcapital	Tempest Security Intelligence	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	8	16-Apr	2016	0.0	
2052	Equator Capital Partners, Progression Capital Africa	Jamii Bora Bank	Sub-Saharan Africa	East Africa	Kenya	KEN	KE	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	12	16-Apr	2016	1.0	
2053	SBI Ven Capital	Bank Index Selindo	Asia	Southeast Asia	Indonesia	IDN	ID	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	10	16-Apr	2016	0.0	
2054	XSML	RJ Trading	Sub-Saharan Africa	Central Africa	Democratic Republic of the Congo	COD	CD	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Credit	Mezzanine		16-Apr	2016		
2055	Joy Capital (Yuyue Capital)	Beijing MyDreamPlus Technology	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	5	16-Apr	2016	0.0	
2056	Northern Light Venture Capital (NLVC)	Cargoinchina.com	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital	2	16-Apr	2016	0.0	
2057	Ivy Capital	Speedroad Medical Information (ysbang.cn)	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital		16-Apr	2016	0.0	
2058	IDG Capital Partners (IDGVC)	Souyu.mobi	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	9	16-Apr	2016	0.0	
2059	Innova Capital	Trimo Group	CEE & CIS	Central & Eastern Europe (CEE)	Slovenia	SVN	SI	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Buyout		16-Apr	2016	0.0	
2060	CITIC Private Equity Funds Management, Hony Capital	Biosensors International	Asia	Southeast Asia	Singapore	SGP	SG	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Buyout	724	16-Apr	2016	0.0	115.1
2061	Sabre Partners	Invictus Oncology	Asia	South Asia	India	IND	IN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth		16-Apr	2016	0.0	
2062	Ideas y Capital	Farrow Ventures	Latin America	Central America	Mexico	MEX	MX	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	1	16-Apr	2016	0.0	
2063	Aavishkaar Venture Management	MA's Foods	Asia	South Asia	Sri Lanka	LKA	LK	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth	1	16-Apr	2016	0.0	
2064	Orchid Asia Group Management, Eastern Bell Venture Capital	Guangzhou Weimeizi Personal Care Products	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Personal Goods	Personal Products	Textiles, Apparel & Luxury Goods	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	46	16-Apr	2016	0.0	
2065	Aberdare Ventures, Arboretum Ventures, Venrock	Adavium Medical	Latin America	South America	Brazil	BRA	BR	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Venture Capital	21	16-Apr	2016	0.0	
2066	Source Code Capital, H Capital, Matrix Partners, Yi Capital	Beijing Lianjia Real Estate Manager	Asia	East Asia	China	CHN	CN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Services	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Growth		16-Apr	2016	0.0	
2067	Tano Capital	Sanghvi Technologies (MyGlamm)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	6	16-Apr	2016	0.0	
2068	Sequoia Capital, Meridian Capital	Hangzhou Jinyuan Biaoju Technology (Joyowo)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	15	16-Apr	2016	0.0	
2069	Cathay Capital Private Equity	ABS	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Home Improvement Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		16-Apr	2016	0.0	
2070	Albright Capital Management	Innovattel	Latin America	-	Latin America Regional Investment	LAC		Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Private Credit	Debt	45	16-Apr	2016		
2071	Yi Capital	Holaverse	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Apr	2016	0.0	
2072	BanyanTree Finance	O2 Spa	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Hotels	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		16-Apr	2016	1.0	
2073	GGV Capital, HighLight Capital	Malo Clinic Health & Wellness Group China	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	13	16-Apr	2016	0.0	
2074	Silicon Badia	Liwwa	MENA	Middle East	Jordan	JOR	JO	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	2	16-Apr	2016	0.0	
2075	500 Startups	Applecrumby & Fish	Asia	Southeast Asia	Malaysia	MYS	MY	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	0.3	16-Apr	2016	0.0	
2076	Eastern Bell Venture Capital	Huitong Tianxia Internet-of-Things Technology (G7)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital		16-Apr	2016	0.0	
2077	The Carlyle Group	Rede D'Or Sao Luiz	Latin America	South America	Brazil	BRA	BR	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		16-Apr	2016	0.0	
2078	Practica Capital	Softneta	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Apr	2016	0.0	
2079	3TS Capital Partners	Marketizator	CEE & CIS	Central & Eastern Europe (CEE)	Romania	ROU	RO	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	16-Apr	2016	0.0	
2080	Bozano Investimentos	Vindi	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.3	16-Apr	2016	0.0	
2081	Blume Ventures	Service Lee Technologies (Servify)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Apr	2016	0.0	
2082	Navis Capital Partners	Texon International Group	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Personal Goods	Footwear	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Buyout	75	16-Apr	2016	0.0	
2083	Revo Capital	Cardtek	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Apr	2016	1.0	
2084	China Broadband Capital (CBC), Ally Bridge Group, Cenova Ventures, New Enterprise Associates (NEA)	LinkDoc Technology	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	10	16-Apr	2016	1.0	
2085	Bessemer Venture Partners	Hungama Digital Media Entertainment	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital		16-Apr	2016	0.0	
2086	Kibo Capital Partners, Investment Fund for Health in Africa	Ciel Healthcare	Sub-Saharan Africa	East Africa	Mauritius	MUS	MU	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		16-Apr	2016	1.0	
2087	Eastern Bell Venture Capital	Beijing Fuyou Online Information Technology	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Transportation	Delivery Services	Air Freight & Logistics	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital	15	16-Apr	2016	0.0	
2088	CMIA Capital Partners	Wine Advocate (Robert Parker)	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	Growth	4	16-Apr	2016	1.0	5.6
2089	Menterra Venture Advisors	Leap Skills Academy	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		16-Apr	2016	0.0	
2090	Kandeo	Conix	Latin America	South America	Colombia	COL	CO	Technology	Technology	Technology Hardware & Equipment	Electronic Office Equipment	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		16-Apr	2016	1.0	
2091	Sequoia Capital	Sensors Data	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	4	16-Apr	2016	0.0	
2092	Menterra Venture Advisors	Biosense Technologies	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Venture Capital		16-Apr	2016	0.0	
2093	IDG Capital Partners (IDGVC)	YCloset	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		16-Apr	2016	0.0	
2094	AfricInvest	TMF Logistics	MENA	North Africa	Algeria	DZA	DZ	Industrials	Industrial Goods & Services	Industrial Transportation	Delivery Services	Air Freight & Logistics	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth		16-Apr	2016	1.0	
2095	Mekong Capital	F88	Asia	Southeast Asia	Vietnam	VNM	VN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		16-Apr	2016	1.0	
2096	Andreessen Horowitz, Foundation Capital, Monashees Capital, Redpoint Ventures	Rappi	Latin America	South America	Colombia	COL	CO	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	9	16-Apr	2016	0.0	
2097	Northstar Group, 500 Startups, DMP	Grain	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	16-Apr	2016	0.0	
2098	MBK Partners	Doosan Machine Tools (DMT)	Asia	East Asia	South Korea	KOR	KR	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Buyout	503	16-Apr	2016	0.0	
2099	AfricInvest	Outsourcia	MENA	North Africa	Morocco	MAR	MA	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		16-Apr	2016	1.0	
