	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
6576	Baring Private Equity Asia	Lafarge India	Asia	South Asia	India	IND	IN	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Growth	256	13-May	2013	0.0	287.7529099
6577	Credence Partners	XMH	Asia	Southeast Asia	Singapore	SGP	SG	Industrials	Industrial Goods & Services	Industrial Engineering	Commercial Vehicles & Trucks	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	PIPE	8	13-May	2013	0.0	
6578	Euroventures	Live Info	CEE & CIS	Central & Eastern Europe (CEE)	Hungary	HUN	HU	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Growth	1	13-May	2013	0.0	
6579	IDG Capital Partners (IDGVC)	Facishare	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	3	13-May	2013	0.0	
6580	Nexus Venture Partners	Unicommerce eSolutions	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		13-May	2013	0.0	
6581	Inventus Capital Partners	eDreams Edusoft	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	13-May	2013	0.0	
6582	Sequoia Capital, Footprint Ventures	Hector Beverages	Asia	South Asia	India	IND	IN	Consumer Goods	Food & Beverage	Beverages	Soft Drinks	Beverages	F Food & Beverages	Food & Beverages	Private Equity	Venture Capital	8	13-May	2013	0.0	
6583	Mayfield Fund	BTB Marketing (The Beer Cafe)	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	5	13-May	2013	0.0	
6584	Kae Capital	Intap Labs (CultureAlley.com)	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		13-May	2013	0.0	
6585	Kalaari Capital	Ubiquitous Foods (Ovenfresh)	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital		13-May	2013	0.0	
6586	IDG Capital Partners (IDGVC), Shenzhen Cowin Venture Capital, Tiantu Xingye Venture Capital (Tiantu Capital)	Bama Tea	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Beverages	Soft Drinks	Beverages	F Food & Beverages	Food & Beverages	Private Equity	Venture Capital	24	13-May	2013	0.0	
