	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
6509	responsAbility Investments	Saraplast (3S Shramik)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Industrial Suppliers	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		13-Jun	2013	0.0	
6510	EXEO Capital	Vida Oils	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth	4	13-Jun	2013	1.0	
6511	Multiples Alternate Asset Management	Milltec Machinery	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Buyout	43	13-Jun	2013	0.0	
6512	Summit Partners	Lazada	Asia	Southeast Asia	Indonesia	IDN	ID	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		13-Jun	2013	0.0	
6513	Warburg Pincus	Delonex	Sub-Saharan Africa	East Africa	Kenya	KEN	KE	Oil & Gas	Oil & Gas	Oil & Gas Producers	Exploration & Production	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Growth	600	13-Jun	2013	0.0	
6514	212 Capital Partners	HemenKiralik (Flat4Day)	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	3	13-Jun	2013	0.0	
6515	Bessemer Venture Partners, Kalaari Capital, Nexus Venture Partners, Saama Capital	Jasper Infotech (Snapdeal)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	50	13-Jun	2013	0.0	
6516	Kleiner Perkins Caufield & Byers (KPCB)	Chengdu Shengshi Wenjin Investment	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Venture Capital	20	13-Jun	2013	0.0	
6517	SoftBank Ventures Korea (SBVK), CyberAgent Ventures, East Ventures	Tokopedia	Asia	Southeast Asia	Indonesia	IDN	ID	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		13-Jun	2013	0.0	
6518	Matrix Partners	Centre for Sight	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	5	13-Jun	2013	0.0	
6519	Denham Capital Management	Endeavor Energy Holdings	Sub-Saharan Africa	-	Sub-Saharan Africa Regional Investment	SSA		Utilities	Utilities	Electricity	Conventional Electricity	Electric Utilities	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	100	13-Jun	2013	0.0	
6520	The Carlyle Group, Actis, Sequoia Capital	Plateno Hotel Group	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Hotels	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout	258	13-Jun	2013	0.0	1269.035573
6521	Pearl Capital Partners (PCP)	Freshco Kenya	Sub-Saharan Africa	East Africa	Kenya	KEN	KE	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth	1	13-Jun	2013	0.0	
6522	Indus Balaji Private Equity	Perfect Pincode	Asia	South Asia	India	IND	IN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Holding & Development	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Venture Capital	2	13-Jun	2013	0.0	
