	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
3000	Buran Venture Capital	Ivi.ru	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	4	15-Sep	2015	0.0	
3001	Tsing Capital	Carsing	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	4	15-Sep	2015	1.0	
3002	500 Startups	Social Media Broadcasts (Klarity)	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	15-Sep	2015	0.0	
3003	The Carlyle Group, IDG Capital Partners (IDGVC)	SouFun Holdings	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	PIPE	557	15-Sep	2015	0.0	
3004	Tiantu Xingye Venture Capital (Tiantu Capital)	Pagoda	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	55	15-Sep	2015	0.0	
3005	Softbank China Venture Capital (SBCVC)	G-Banker.com	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Investment Services	Capital Markets	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital		15-Sep	2015	1.0	
3006	LIV Capital	Reservamos	Latin America	Central America	Mexico	MEX	MX	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	0.5	15-Sep	2015	0.0	
3007	SP Ventures	Nexxto	Latin America	South America	Brazil	BRA	BR	Technology	Technology	Technology Hardware & Equipment	Electronic Office Equipment	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		15-Sep	2015	0.0	
3008	Sequoia Capital, Eastern Bell Venture Capital, Hillhouse Capital Management, Tiantu Xingye Venture Capital (Tiantu Capital)	Beequick	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	70	15-Sep	2015	0.0	
3009	IDG Ventures India, 500 Startups	SilverPush	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	15-Sep	2015	0.0	
3010	Linzor Capital Partners	Onest Colombia	Latin America	South America	Colombia	COL	CO	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Buyout	50	15-Sep	2015	0.0	
3011	Infuse Ventures	Fourth Partner Energy	Asia	South Asia	India	IND	IN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Private Equity	Growth	2	15-Sep	2015	1.0	
3012	Tata Capital Private Equity	Star Health & Allied Insurance	Asia	South Asia	India	IND	IN	Financials	Insurance	Nonlife Insurance	Full Line Insurance	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		15-Sep	2015	0.0	
3013	Unitus Seed Fund	VillFarm Agrisolutions (Formerly Villgro Innovation Marketing)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	0.2	15-Sep	2015	0.0	
3014	Kalaari Capital, YourNest Angel Fund	Bestdealfinance (Rubique)	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	3	15-Sep	2015	0.0	
3015	Northern Light Venture Capital (NLVC)	Nuovo Film	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Electronic & Electrical Equipment	Electrical Components & Equipment	Electrical Equipment	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		15-Sep	2015	0.0	
3016	Northern Light Venture Capital (NLVC), IDG Capital Partners (IDGVC), Vangoo Capital Partners	Teambition	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	12	15-Sep	2015	0.0	
3017	Tiantu Xingye Venture Capital (Tiantu Capital)	PPzuche-iCarsClub	Asia	-	Asia Regional Investment	EAP		Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	50	15-Sep	2015	0.0	
3018	Inovo Venture Capital	Gamfi	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.3	15-Sep	2015	0.0	
