	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
3019	Bain Capital	L&T Finance	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Investment Services	Capital Markets	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	199	15-Sep	2015	0.0	29.8787006
3020	NewMargin Ventures, SAIF Partners	Six Degrees Technology (Work EC)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	16	15-Sep	2015	0.0	
3021	SAIF Partners, Fortune Venture Capital	Shanghai Yuehui Information Technology (YHouse)	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	19	15-Sep	2015	0.0	
3022	Sequoia Capital	Ttkuaiche.com	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3023	Accel Partners, Ventureast	Portea Medical	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Venture Capital	31	15-Sep	2015	0.0	
3024	Shenzhen Oriental Fortune Capital (OFC)	Miutrip.com	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	5	15-Sep	2015	0.0	
3025	Sequoia Capital	Shenhen Lehuo E-commerce (Loho Eyewear)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3026	DCM, Morningside Ventures	Beijing Miaoji Technology (mioji.com)	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	20	15-Sep	2015	0.0	
3027	China Soft Capital (China Soft Investment Corporation)	Beijing Xuexin Suda Technology	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	10	15-Sep	2015	0.0	
3028	Shenzhen Oriental Fortune Capital (OFC)	Shanghai Ulucu Electronic Technology	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		15-Sep	2015	0.0	
3029	Olympus Capital Asia	Tian Jian Hua Xia Medical Group Holdings (Tendcare Medical Group)	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	40	15-Sep	2015	0.0	
3030	Hudson Clean Energy Partners	Sky Solar Chile and Uruguay Solar Portfolio	Latin America	-	Latin America Regional Investment	LAC		Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	50	15-Sep	2015	0.0	
3031	500 Startups	Partyphile	Asia	Southeast Asia	Philippines	PHL	PH	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital		15-Sep	2015	0.0	
3032	Enterprise Investors	SMT Software Services	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout	41	15-Sep	2015	0.0	
3033	TPG	Ecoles Yassamine	MENA	North Africa	Morocco	MAR	MA	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	26	15-Sep	2015	0.0	
3034	Tiantu Xingye Venture Capital (Tiantu Capital)	Beijing Kuaifang Technology (Kfyao)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	Food & Drug Retailers	Drug Retailers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	31	15-Sep	2015	0.0	
3035	HAO Capital	DJ HealthUnion Systems	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	13	15-Sep	2015	0.0	
3036	Saama Capital	Mountain Trail Foods (Chai Point)	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	10	15-Sep	2015	0.0	
3037	Sequoia Capital, Banyan Capital	Urwork Venture Capital	Asia	East Asia	China	CHN	CN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Holding & Development	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Venture Capital		15-Sep	2015	0.0	
3038	Footprint Ventures	Spring Leaf Retail (Mast Kalandar)	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	6	15-Sep	2015	0.0	
3039	Helion Venture Partners	Vas Data Services (Yepme.com)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3040	Practica Capital	Robert Kalinkin	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Venture Capital	0.2	15-Sep	2015	0.0	
3041	Mubadala Infrastructure Partners (MIP)	MIP Energy	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Utilities	Utilities	Electricity	Conventional Electricity	Electric Utilities	V Electric Power	Utilities	Private Credit	Mezzanine		15-Sep	2015		
3042	Legend Capital, Matrix Partners	Tongxin Yilian Technology (Unimed)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	10	15-Sep	2015	0.0	
3043	BanyanTree Finance	Rotomag Motors and Controls	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Electronic & Electrical Equipment	Electronic Equipment	Electrical Equipment	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	5	15-Sep	2015	1.0	
3044	Wamda Capital	Compareit4me	MENA	Middle East	United Arab Emirates	ARE	AE	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	3	15-Sep	2015	1.0	
3045	Credo Ventures	Photoneo	CEE & CIS	Central & Eastern Europe (CEE)	Slovakia	SVK	SK	Industrials	Industrial Goods & Services	Electronic & Electrical Equipment	Electronic Equipment	Electrical Equipment	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	2	15-Sep	2015	0.0	
3046	Neulogy Ventures	RF Elements	CEE & CIS	Central & Eastern Europe (CEE)	Slovakia	SVK	SK	Technology	Technology	Technology Hardware & Equipment	Telecommunications Equipment	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		15-Sep	2015	0.0	
3047	BlackPeak Capital	Humanita	CEE & CIS	Central & Eastern Europe (CEE)	Bulgaria	BGR	BG	Industrials	Industrial Goods & Services	Support Services	Waste & Disposal Services	Commercial Services & Supplies	C Utilities	Utilities	Private Equity	Growth	1	15-Sep	2015	0.0	
3048	Banyan Capital	Zhai.me	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3049	DT Capital Partners	Kongge (Shenghuozhe)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3050	500 Startups, Beenext	HappyFresh	Asia	Southeast Asia	Indonesia	IDN	ID	Industrials	Industrial Goods & Services	Industrial Transportation	Delivery Services	Air Freight & Logistics	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital		15-Sep	2015	0.0	
3051	Bessemer Venture Partners	CanvasFlip	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	15-Sep	2015	0.0	
3052	Sixth Sense Ventures	Grab a Grub Services (Grab)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Transportation	Delivery Services	Air Freight & Logistics	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital	0.5	15-Sep	2015	0.0	
3053	DT Capital Partners	Shanghai Jinwu Automotive Consulting Technology (ttpai.cn, Tiantian paiche)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3054	Cybernaut (China) Investment	Yichao Glasses	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		15-Sep	2015	0.0	
3055	Source Code Capital	Beijing Yijiupi E-Commerce	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3056	Sadara Ventures, Aleph, Israel Cleantech Ventures	Tradeos (Freightos)	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		15-Sep	2015	0.0	
3057	Gobi Partners	Huangbaoche	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	8	15-Sep	2015	0.0	
3058	500 Startups	Next Door Learning Solutions (OnlineTyari)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	15-Sep	2015	0.0	
3059	Injaro Investments	Comptoir 2000	Sub-Saharan Africa	West Africa	Mali	MLI	ML	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Credit	Mezzanine		15-Sep	2015		
3060	Softbank China Venture Capital (SBCVC), HighLight Capital	Shanghai Quyiyuan Network Technology (Quyiyuan.com)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	40	15-Sep	2015	0.0	
3061	Capital Group Private Markets	Didi Chuxing	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital		15-Sep	2015	0.0	
3062	SAIF Partners, Beenext, Kalaari Capital	MTech Engineering (industrybuying.com)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Industrial Suppliers	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	9	15-Sep	2015	0.0	
3063	The Carlyle Group	Metropolis Healthcare	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	128	15-Sep	2015	0.0	90.0
3064	Baring Private Equity Asia	CMS Infosystems	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	142	15-Sep	2015	0.0	159.6776601
3065	Blume Ventures	MockBank Learning	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	0.4	15-Sep	2015	0.0	
3066	Sequoia Capital, H Capital	Beijing Huawang Online Commerce (Mia.com)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3067	H Capital	Lexue Education	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	30	15-Sep	2015	0.0	
3068	Yunfeng Capital	Medlinker	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital		15-Sep	2015	0.0	
3069	Yunfeng Capital	Alibaba Sports Group	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Growth		15-Sep	2015	0.0	
3070	GGV Capital	Shanghai Young Zone Culture (Neobear)	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		15-Sep	2015	0.0	
3071	KKR	JBF Industries (JBF Global)	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	PIPE	150	15-Sep	2015	0.0	146.6
3072	East Ventures	IDNtimes (IDN Media)	Asia	Southeast Asia	Indonesia	IDN	ID	Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	Venture Capital		15-Sep	2015	0.0	
3073	AppWorks Ventures, Crystal Stream Ventures	Huolala Global Investment	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Transportation	Delivery Services	Air Freight & Logistics	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital	10	15-Sep	2015	0.0	
3074	Imprimatur Capital	Edurio	CEE & CIS	Central & Eastern Europe (CEE)	Latvia	LVA	LV	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.2	15-Sep	2015	0.0	
3075	Templeton Asset Management (TAML)	Blue Sky Power Holdings	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	PIPE	15	15-Sep	2015	0.0	
3076	GGV Capital	Yuanqutech.com	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	2	15-Sep	2015	0.0	
3077	Source Code Capital	Shenzhen Huishoubao Tech	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	3	15-Sep	2015	0.0	
3078	Source Code Capital	Zichan360.com	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	5	15-Sep	2015	0.0	
3079	Banyan Capital	Hangzhou Ningmi Information Technology (Quyundong)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3080	TVS Capital	Prabhat Dairy	Asia	South Asia	India	IND	IN	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	PIPE	13	15-Sep	2015	1.0	5.698205289
3081	IDG Capital Partners (IDGVC), Northern Light Venture Capital (NLVC)	Fuze Game	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		15-Sep	2015	0.0	
3082	Matrix Partners, Ceyuan Ventures	Giant Network Technology (JuJu)	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	6	15-Sep	2015	0.0	
3083	IDG Ventures India, Kalaari Capital	Actoserba Active Retail (Zivame)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3084	India Quotient	Mhealth Ventures India (MeraDoctor)	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Venture Capital		15-Sep	2015	1.0	0.155149425
3085	Sequoia Capital	Celon Labs	Asia	South Asia	India	IND	IN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth		15-Sep	2015	0.0	
3086	Sequoia Capital, Legend Capital	Zuoyebang	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3087	Stratus Group	Flex Contact Center	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	3	15-Sep	2015	0.0	
3088	DILA Capital	Reservamos	Latin America	Central America	Mexico	MEX	MX	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital		15-Sep	2015	0.0	
3089	Warburg Pincus, Norwest Venture Partners (NVP), Sequoia Capital	Capillary Technologies	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	45	15-Sep	2015	0.0	
3090	C-Bridge Capital	Ascletis	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		15-Sep	2015	0.0	
3091	BlueRun Ventures	LemonAwake	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3092	Motilal Oswal Private Equity	Kurlon	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Furnishings	Household Durables	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	14	15-Sep	2015	1.0	
3093	Ribbit Capital	ZestMoney	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	2	15-Sep	2015	0.0	
3094	Softbank China Venture Capital (SBCVC)	Gongzi Qianbao (V-Joy)	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital		15-Sep	2015	0.0	
3095	Barn Investments, Confrapar	Nutrebem	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	15-Sep	2015	0.0	
3096	Kaszek Ventures	DogHero	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		15-Sep	2015	0.0	
3097	Sinovation Ventures	Miwei Media	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Venture Capital		15-Sep	2015	0.0	
3098	InFRONTIER	Frontier Stones	Asia	South Asia	Afghanistan	AFG	AF	Basic Materials	Basic Resources	Mining	General Mining	Metals & Mining	B Oil, Gas and Mining	Oil, Gas and Mining	Infrastructure & Real Assets	Growth		15-Sep	2015	0.0	
3099	Legend Capital	Guangzhou Weimeizi Personal Care Products	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Personal Goods	Personal Products	Textiles, Apparel & Luxury Goods	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		15-Sep	2015	0.0	
