	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
7010	Summit Partners	Namshi	MENA	Middle East	United Arab Emirates	ARE	AE	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	13-Jan	2013	0.0	
7011	Broadhi Capital	Liaoning Hongxu Modern Agriculture	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth		13-Jan	2013	0.0	
7012	Warburg Pincus	Koudai	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		13-Jan	2013	0.0	
7013	Peepul Capital	Rhea Healthcare (Motherhood)	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	16	13-Jan	2013	0.0	
7014	IDG Ventures India, Kalaari Capital	Actoserba Active Retail (Zivame)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	13-Jan	2013	0.0	
7015	Broadhi Capital	Jiaozuo Drex Demonstration Dairy Industry	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth		13-Jan	2013	0.0	
7016	Siraj Fund Management Company (SFMC)	WebTeb	MENA	Middle East	Palestinian Territory	WB		Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	Venture Capital		13-Jan	2013	0.0	
7017	Matrix Partners, GSR Ventures	Ele.me	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	10	13-Jan	2013	0.0	
7018	Matrix Partners	1006.tv	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital		13-Jan	2013	0.0	
7019	Accel Partners	Vinted	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	7	13-Jan	2013	0.0	
7020	Practica Capital	CGTrader	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		13-Jan	2013	0.0	
7021	Alta Ventures Mexico	Diverza	Latin America	Central America	Mexico	MEX	MX	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	12-Dec	2012	1.0	
7022	Seedfund	Chumbak Design	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Venture Capital	2	12-Dec	2012	0.0	
7023	InvAscent	Neuland Health Sciences	Asia	South Asia	India	IND	IN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth	8	12-Dec	2012	0.0	
7024	Cauris Management	Azalai Hotels	Sub-Saharan Africa	West Africa	Mali	MLI	ML	Consumer Services	Travel & Leisure	Travel & Leisure	Hotels	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	8	12-Dec	2012	1.0	
7025	Practica Capital	TransferGo	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	0.3	12-Dec	2012	0.0	
7026	IFC Asset Management Company (AMC)	XacBank	Asia	East Asia	Mongolia	MNG	MN	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Credit	Debt	30	12-Dec	2012		
7027	Cauris Management	Atlantic Business International (ABI)	Sub-Saharan Africa	West Africa	Cote d'Ivoire	CIV	CI	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Credit	Mezzanine	8	12-Dec	2012		
7028	LIV Capital	YellowPepper	Latin America	-	Latin America Regional Investment	LAC		Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		12-Dec	2012	0.0	
7029	Darby Private Equity	Hisarlar	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Industrials	Industrial Goods & Services	Industrial Engineering	Commercial Vehicles & Trucks	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		12-Dec	2012	0.0	
7030	Mid Europa Partners	Alpha Medical	CEE & CIS	Central & Eastern Europe (CEE)	Slovakia	SVK	SK	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Buyout		12-Dec	2012	0.0	
7031	Aavishkaar Venture Management	Suryoday Microfinance (SMF)	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	2	12-Dec	2012	1.0	17.84
7032	IFC Asset Management Company (AMC)	ACLEDA Bank	Asia	Southeast Asia	Cambodia	KHM	KH	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Credit	Debt	40	12-Dec	2012		
7033	Macquarie Infrastructure and Real Assets (MIRA)	RWE Grid Holding	CEE & CIS	Central & Eastern Europe (CEE)	Czech Republic	CZE	CZ	Utilities	Utilities	Gas, Water & Multi-utilities	Gas Distribution	Gas Utilities	C Utilities	Utilities	Infrastructure & Real Assets	Growth		12-Dec	2012	0.0	
7034	500 Startups, Valor Capital Group	Descomplica	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-Dec	2012	0.0	
7035	Practica Capital	Benjamin River Productions	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Venture Capital	0.3	12-Dec	2012	0.0	
7036	Practica Capital	Celi Aps	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.3	12-Dec	2012	0.0	
7037	HPEF Capital Partners (formerly Headland)	Young Toys	Asia	East Asia	South Korea	KOR	KR	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Buyout	53	12-Dec	2012	0.0	151.4
7038	AfricInvest	Polymedic	MENA	North Africa	Morocco	MAR	MA	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Buyout	14	12-Dec	2012	1.0	
7039	IGNIA Partners	Procesa Chiapas	Latin America	Central America	Mexico	MEX	MX	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Venture Capital	8	12-Dec	2012	1.0	
7040	Aavishkaar Venture Management	Milk Mantra Dairy	Asia	South Asia	India	IND	IN	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	2	12-Dec	2012	1.0	2.031220273
7041	Essedel Capital	Nash Xleb Bakery Group	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		12-Dec	2012	0.0	
7042	IFC Asset Management Company (AMC)	Banco G&T Continental	Latin America	Central America	Guatemala	GTM	GT	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Credit	Debt	100	12-Dec	2012		
7043	IMM Private Equity	Alvogen Korea	Asia	East Asia	South Korea	KOR	KR	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth		12-Dec	2012	0.0	
7044	Southern Cross Group	Ultrapetrol	Latin America	South America	South America Regional Investment	LAC		Industrials	Industrial Goods & Services	Industrial Transportation	Marine Transportation	Marine	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Buyout	220	12-Dec	2012	0.0	
7045	Blume Ventures, First Light Ventures	MadRat Games	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	0.5	12-Dec	2012	0.0	
7046	Northstar Group	Trimegah Securities	Asia	Southeast Asia	Indonesia	IDN	ID	Financials	Financial Services	Financial Services	Investment Services	Capital Markets	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	21	12-Dec	2012	0.0	
7047	Warburg Pincus	Sand Hill Petroleum	CEE & CIS	Central & Eastern Europe (CEE)	Central & Eastern Europe (CEE) Regional Investment	ECA		Oil & Gas	Oil & Gas	Oil & Gas Producers	Exploration & Production	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Infrastructure & Real Assets	Growth		12-Dec	2012	0.0	
7048	Hera Capital	The Stakeholder Company	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	12-Dec	2012	0.0	
7049	Multiples Alternate Asset Management	Mogae Media	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	18	12-Dec	2012	0.0	
7050	PENM Partners	Masan Resources	Asia	Southeast Asia	Vietnam	VNM	VN	Basic Materials	Basic Resources	Industrial Metals & Mining	Nonferrous Metals	Metals & Mining	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Growth		12-Dec	2012	0.0	
7051	Voxtra, Pearl Capital Partners (PCP)	Western Seed	Sub-Saharan Africa	East Africa	Kenya	KEN	KE	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Credit	Mezzanine	2	12-Dec	2012		
7052	Everstone Capital	F&B Asia Ventures	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	250	12-Dec	2012	0.0	
7053	IDFC Alternatives	JM Baxi	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Infrastructure & Real Assets	Growth	50	12-Dec	2012	0.0	
7054	Matrix Partners	Enhance Aesthetic & Cosmetic Studio	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		12-Dec	2012	0.0	
7055	Hony Capital	China International Marine Containers Group (CIMC)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	General Industrials	Containers & Packaging	Containers & Packaging	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	PIPE	175	12-Dec	2012	0.0	
7056	CX Partners	TSI India	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout	23	12-Dec	2012	0.0	
7057	China New Enterprise Investment (CNEI)	Juxin International Leasing	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	20	12-Dec	2012	0.0	
7058	Norwest Venture Partners (NVP)	Attune Technologies	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	6	12-Dec	2012	0.0	
7059	Legend Capital	Howbuy Wealth Management	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Asset Managers	Capital Markets	P Collective Investment Vehicles	Collective Investment Vehicles	Private Equity	Venture Capital		12-Dec	2012	0.0	
7060	Aditya Birla Private Equity	Tree House Education & Accessories	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	PIPE	6	12-Dec	2012	0.0	21.65158837
7061	XSML	Bamara Transports DJ	Sub-Saharan Africa	Central Africa	Central African Republic	CAF	CF	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth		12-Dec	2012	1.0	
7062	Helion Venture Partners, Footprint Ventures	Spring Leaf Retail (Mast Kalandar)	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	6	12-Dec	2012	0.0	
7063	Lunar Capital Management	I Pinco Pallino	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Buyout		12-Dec	2012	0.0	
7064	Sadara Ventures	Souktel	MENA	Middle East	Palestinian Territory	WB		Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	12-Dec	2012	0.0	
7065	The Riverside Company	Bohemia Interactive Simulations	CEE & CIS	Central & Eastern Europe (CEE)	Czech Republic	CZE	CZ	Industrials	Industrial Goods & Services	Aerospace & Defense	Defense	Aerospace & Defense	X Other (For Non-Investment Projects)	Other Public	Private Equity	Growth		12-Dec	2012	0.0	
7066	Advent International	InverCap	Latin America	Central America	Mexico	MEX	MX	Financials	Financial Services	Financial Services	Investment Services	Capital Markets	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		12-Dec	2012	0.0	
7067	Tata Capital Private Equity	Pluss Polymers	Asia	South Asia	India	IND	IN	Basic Materials	Chemicals	Chemicals	Commodity Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	Growth	3	12-Dec	2012	0.0	
7068	Canbank Venture Capital	Scotts Garments	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Growth	4	12-Dec	2012	0.0	
7069	IFC Asset Management Company (AMC)	Orient Express Bank	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	23	12-Dec	2012	1.0	
7070	IFC Asset Management Company (AMC)	Credit Bank of Moscow	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	55	12-Dec	2012	1.0	
7071	China New Enterprise Investment (CNEI)	China Dadi Chemical	Asia	East Asia	China	CHN	CN	Basic Materials	Chemicals	Chemicals	Commodity Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	Growth	23	12-Dec	2012	0.0	
7072	ICICI Venture Funds Management	Vijay Nirman Company	Asia	South Asia	India	IND	IN	Industrials	Construction & Materials	Construction & Materials	Heavy Construction	Construction & Engineering	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Infrastructure & Real Assets	Growth	16	12-Dec	2012	0.0	
7073	AEA Investors	Suhyang Networks	Asia	East Asia	South Korea	KOR	KR	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Buyout		12-Dec	2012	0.0	
7074	Mid Europa Partners	Walmark	CEE & CIS	Central & Eastern Europe (CEE)	Czech Republic	CZE	CZ	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Buyout		12-Dec	2012	0.0	
7075	Baltcap Management	Coffee Inn	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		12-Dec	2012	0.0	
7076	Patria Investimentos	Highline	Latin America	South America	Brazil	BRA	BR	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Infrastructure & Real Assets	Growth	142	12-Dec	2012	0.0	
7077	Riverwood Capital, Kaszek Ventures	GoIntegro	Latin America	South America	Argentina	ARG	AR	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	3	12-Dec	2012	0.0	
7078	Phatisa	Feronia	Sub-Saharan Africa	Central Africa	Democratic Republic of the Congo	COD	CD	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	PIPE	11	12-Dec	2012	0.0	
7079	EcoEnterprises Fund	Runa	Latin America	South America	Ecuador	ECU	EC	Consumer Goods	Food & Beverage	Beverages	Soft Drinks	Beverages	F Food & Beverages	Food & Beverages	Private Equity	Growth		12-Dec	2012	0.0	
7080	Templeton Asset Management (TAML)	Tongda Group	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	PIPE	12	12-Dec	2012	0.0	4.6
7081	Kalaari Capital	BEBB India (Power2SME)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		12-Dec	2012	0.0	
7082	Baird Capital	Boston Plastics	Asia	Southeast Asia	Singapore	SGP	SG	Industrials	Industrial Goods & Services	General Industrials	Diversified Industrials	Industrial Conglomerates	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		12-Dec	2012	0.0	
7083	Samara Capital Partners	Cogencis Information Services	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	Buyout	17	12-Dec	2012	0.0	
7084	Central Fund Management	Office Depot Hungary	CEE & CIS	Central & Eastern Europe (CEE)	Hungary	HUN	HU	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Buyout		12-Dec	2012	0.0	
7085	Investec Asset Management	OK Zimbabwe	Sub-Saharan Africa	East Africa	Zimbabwe	ZWE	ZW	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	5	12-Dec	2012	0.0	
7086	Kae Capital	Sharedcab.com	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	1	12-Dec	2012	0.0	
7087	Databank Agrifund Manager (DAFML)	West End Farms	Sub-Saharan Africa	Central Africa	Cameroon	CMR	CM	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth	1	12-Dec	2012	0.0	
7088	Sequoia Capital, IDG Ventures India	iCreate Software	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	9	12-Dec	2012	0.0	
7089	Darby Private Equity	Tabacarcen	Latin America	South America	Ecuador	ECU	EC	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth		12-Dec	2012	0.0	
7090	Jungle Ventures	ZipDial Mobile Solutions	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital		12-Dec	2012	0.0	
7091	Kandeo	Acercasa	Latin America	South America	Colombia	COL	CO	Financials	Financial Services	Financial Services	Mortgage Finance	Thrifts & Mortgage Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Buyout	1	12-Dec	2012	0.0	
7092	Graycliff Partners	Laners Universal	Latin America	South America	Colombia	COL	CO	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Durable Household Products	Household Durables	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	8	12-Dec	2012	0.0	
7093	Summit Partners	Lazada	Asia	Southeast Asia	Indonesia	IDN	ID	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	27	12-Dec	2012	0.0	
7094	Kae Capital	Squeakee.com	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	12-Dec	2012	0.0	
7095	IFCI Venture Capital Funds	Sumeet Industries	Asia	South Asia	India	IND	IN	Basic Materials	Chemicals	Chemicals	Specialty Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	PIPE	2	12-Dec	2012	0.0	
7096	TPG	FESCO (Far Eastern Shipping)	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Industrials	Industrial Goods & Services	Industrial Transportation	Marine Transportation	Marine	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	PIPE		12-Dec	2012	0.0	
7097	Unitas Capital	Shenzhen ZTE Netview Technology	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Electronic & Electrical Equipment	Electrical Components & Equipment	Electrical Equipment	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Buyout	209	12-Dec	2012	0.0	
7098	Kae Capital	Spunk Media (QubeCell)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		12-Dec	2012	0.0	
7099	Alta Growth Capital	Central	Latin America	Central America	Mexico	MEX	MX	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Buyout		12-Dec	2012	1.0	
7100	Sequoia Capital	Feidee.com	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-Dec	2012	0.0	
7101	Databank Agrifund Manager (DAFML)	Interfresh	Sub-Saharan Africa	East Africa	Zimbabwe	ZWE	ZW	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth	2	12-Dec	2012	0.0	
