	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
7000	China Broadband Capital (CBC)	ipinyou.com (PinYou)	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	20	13-Jan	2013	0.0	
7001	KKR	CITIC Envirotech (formerly United Envirotech)	Asia	East Asia	China	CHN	CN	Utilities	Utilities	Gas, Water & Multi-utilities	Water	Water Utilities	C Utilities	Utilities	Infrastructure & Real Assets	PIPE	40	13-Jan	2013	0.0	
7002	Linzor Capital Partners	Farmashop	Latin America	South America	Uruguay	URY	UY	Consumer Services	Retail	Food & Drug Retailers	Drug Retailers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Buyout		13-Jan	2013	0.0	
7003	Infinity Group	Anxin-China Holdings	Asia	East Asia	China	CHN	CN	Technology	Technology	Technology Hardware & Equipment	Computer Hardware	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	30	13-Jan	2013	0.0	
7004	DCM	Ding Xiang Yuan (DXY.cn)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	10	13-Jan	2013	0.0	
7005	Tiantu Xingye Venture Capital (Tiantu Capital)	Bama Tea	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Beverages	Soft Drinks	Beverages	F Food & Beverages	Food & Beverages	Private Equity	Growth	6	13-Jan	2013	0.0	
7006	PineBridge Investments	Work Service	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	34	13-Jan	2013	0.0	
7007	Canbank Venture Capital	Vinyas Innovative Technologies	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Electronic & Electrical Equipment	Electronic Equipment	Electrical Equipment	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	2	13-Jan	2013	0.0	
7008	RRJ Capital	Olam International	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	PIPE	90	13-Jan	2013	0.0	
7009	WAMEX Private Equity	Productos Medix	Latin America	Central America	Mexico	MEX	MX	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth	32	13-Jan	2013	0.0	
