original_name|country_code|mapped_name|mapping_score
Manipal|IN|MANIPAL TECHNOLOGIES LIMITED|scoreB
ManoRiver|LR||
Mansard|NG|AXA MANSARD INSURANCE PLC (Previous name: MANSARD INSURANCE PLC)|scoreB
Marche Multirasa|ID||
Mardil Med|IN||
MArillion II|IN||
Marillion Pharma|IN||
Master Change|MG|MASTER-CHANGE|scoreA
Maxaren|UA||
Maxcard Holding|CN||
Maximum Test|RU|MAXIMUM TEPLOIZOLYACHII COMPANY LIMITED|scoreE
Maykor|RU|MAIKOR|scoreA
Mbuyuy|ZA||
Medecines Nuit|CD||
MEDIFAR|HR||
Mega Lifescience|TH|MEGA LIFESCIENCES PUBLIC COMPANY LIMITED|scoreA
Megaport Int'l|CN||
Mentor|KE|THE MENTORS LIMITED|scoreB
Mercatus|US|MERCATUS LLC|scoreA
MexVi|MX|MEX VIT SA|scoreB
MFM Fnancial|MX||
MFX|US|MFX ROANOKE|scoreA
MIBL (Mahindra)|IN||
Microinvest Loan|TJ||
Micurx Pharma|CN||
Mimosa Goodlife|KE||
Minerva Project|WLD|MINERVA PROJECT INC|scoreA
Mingtang|CN|SHI MING TANG ( BEI JING ) MAO YI YOU XIAN GONG SI|scoreD
Mira-Ceti|RU||
Mirkala Solar|IN||
MissionU|WLD|MISSION FEDERAL CREDIT UNION (Alias: MISSION)|scoreB
MKL|KE||
MLE|MG||
Mobalytics|US||
Mobilio|MA|MOBILIA (STE)|scoreB
MOBISOL TAN|TZ|MOBISOL UK LIMITED|scoreD
Moglix|IN|MOGLI LABS (INDIA) PRIVATE LIMITED|scoreE
Mojing|CN|MO JING ( XIA MEN ) GUANG XUE YOU XIAN GONG SI|scoreD
Momao|CN|SHI SHI SHI MO SHI MAO YI YOU XIAN GONG SI|scoreD
Momenta|CN|MOMENTA LIMITED|scoreA
monte carlo fash|RU|LIMITED LIABILITY COMPANY MONTE CARLO|scoreB
Morvigor|SL||
Mowdok|BD||
Mpower Financing|IN||
MTNN|NG||
MUA|MU|MUA COMMERCIABLE VEHICLES AGENCY LIMITED|scoreD
Muller Tech|CN||
Mutandis Morocco|MA||
MyNFO|US|MYNFO LLC|scoreA
MyTherapist|CN||
N-50 Underlying|WLD|N-50 LIMITED|scoreB
Nafith|IQ||
NAHHG - Egypt|EG||
NAHHG - Tunisia|TN|STE TUNISIA SHOPPING NETWORK|scoreD
Naochuanyue|CN||
Napo Pharma|CN||
NDEP|NG||
Negros Nav|EAP|DAIANE BEATRIZ QUEIROZ EVANGELISTA ELOY (Alias: NEGRO'S BAR)|scoreB
NeoGrowth|IN|NEOGROWTH VYAPAAR PRIVATE LIMITED|scoreB
Neozeka|TR||
Nepra|IN|NEPRA TRADELINK PRIVATE LIMITED|scoreB
Netcad|TR||
New Force|AM||
New Horizon Health|CN||
NewGlobe Schools|KE||
Newspeed|MG||
Newswire 18|IN||
Nexchem|CN|NEXCHEM PHARMACEUTICAL CO., LTD|scoreB
NFCH|SSA|K.K. N F C H|scoreA
NFWare|RU||
N-G Chemicals|NG|IMC CHEMICALS LIMITED|scoreC
NGM|TR|NGM ULUSLARARASI VE DAHILI TASIMACILIK KURYECILIK GUMRUKLEME DEPOLAMA IC VE DIS TICARET LTD STI|scoreE
NGN Investment|KE|KAN INVESTMENTS LIMITED|scoreC
NGO Aurora ABSL|CD||
NGO Aurora ABSL|CD||
Northern Lights|UA||
Northstar Financial Service|NG|PRIMESTAR FINANCIAL SERVICES LIMITED|scoreB
Nova (Farutex)|PL||
NP Holdings|CN|HP HOLDINGS CO., LTD.|scoreB
NQ (Vinasun)|UA||
NRJ|CD||
Nsero Investment|ZM||
NSIA AGCI|CI||
NT Okawa Trading CC|NA|OKAWARONGO TRADING ENTERPRISE CC|scoreD
Nu Tread|MW||
NUTV|HT||
Nuvia|TR||
Oasis Kazakhstan|KZ|A1 SYSTEMS KAZAKHSTAN (A1 SISTEMS KAZAKHSTAN)|scoreE
Obilet|TR|OBILET BILISIM SISTEMLERI ANONIM SIRKETI|scoreE
Octonion|US||
Off Grid Electric Ltd|SC||
OGPL|IN|OGPL INDIA LIMITED|scoreC
OK Xueche|CN||
OKIL Group|RU|SKILL GROUP LTD|scoreC
Omniacom|MNA|OMNIA COM SRL|scoreA
On Tech|AE|FAM TECH ON LINE SERVICES L.L.C|scoreC
Oncologie Diagnostic Maroc_ODM|MA|ONCOLOGIE ET DIAGNOSTIC DU MAROC|scoreB
Opus Sign|BD||
Oragroup|TG|ORAGROUP SA|scoreB
Orca|IN|ORCA TELECOMMUNICATION PRIVATE LIMITED|scoreB
Oriard|MX|MARCO ANTONIO ORIARD OCHOA|scoreE
Orient Ltd|EG|BASSAM YASSER HASAN AHMED AND PARTNER (Alias: ORIENT)|scoreB
Orion Cleaning|TR||
OSG|RU|JOINT STOCK COMPANY UNITED BULDING GROUP (Alias: ZAO OSG)|scoreA
Other holdings|CN||
Other Listed|VN||
Outschool|WLD|VERENIGING OUT of SCHOOL|scoreA
Oxus Tajikistan|TJ|ADMINISTRATION OF COMMUNICATIONS, TAJIKISTAN|scoreD
P2K homebuilding|CL||
Pac Comm SL|FJ||
Pacific Meinouke|CN||
Pajah|SL||
Paladippsa|MX||
Pangea Diamonds|AFR|ASIMI MINING COMPANY (PTY) LTD (Previous name: PANGEA DIAMONDS (PTY) LTD)|scoreB
Papa Sola|CD||
Parallels|RU|PARALLELS LTD|scoreA
Parasut|TR||
Park Cafe|KH||
Paysense|IN|PAYSENSE SERVICES INDIA PRIVATE LIMITED|scoreE
Paystream|KE|PAYSTREAM LIMITED|scoreA
Penkon|TR|PENKON GIDA SANAYI ANONIM SIRKETI|scoreE
People Productivity Solution PPS|NG||
Peoplise|TR||
Petrolatina|CO|PETROLATINA INC|scoreA
PFT|IN||
Pharmacie Rako|MG|PHARMACIE S I T R A K A|scoreC
PHESI|PH|PHESI HOLDINGS CORPORATION|scoreB
Photomath|WLD|PHOTOMATH INC|scoreA
Phyma Fresh Prod|KE||
Picsel Group|CN||
Pinetree Group|CN||
Planet Pty Ltd|LA||
Planor Capital|CI||
PlayCo Holding ltd Startzplay|MNA|PLAYCO HOLDING LTD|scoreB
Plum|CN|PLUM & COMPANY LIMITED|scoreA
Plumblink|ZA|PLUMBLINK (MILNERTON) (PTY) LTD|scoreA
PM Homes|BR|P M HOMEM & CIA LTDA - ME|scoreB
Poly Taoufik|TN||
Polymeres|TN|STE POLYMERES|scoreA
Pomelo|SG|POMELO NETWORK PTE. LTD.|scoreB
Popshop|CD||
Popshop|CD||
Popular (PPL)|BD||
Porini|KE|PORINI PERMACULTURE LIMITED|scoreB
Precise Suzhou|CN|SUZHOU PRECISE PACKING MATERIAL CO., LTD.|scoreB
Prestanic|NI||
Pride Tanzania|TZ|PROMOTION of RURAL INITIATIVES AND DEVELOPMENT ENTERPRISES LIMITED (Alias: PRIDE TANZANIA)|scoreA
Primedia|ZA|PRIMEDIA LIMITED|scoreA
Primedic|MX|PRIME MEDICAL SA|scoreC
Primoyre Fishing Project|RU||
Proambi|MX|PROAMBIENT SC|scoreC
Project 8ins|CN||
Project ACF|KZ|PROJECT-A COMPANY|scoreB
Project Arrow|NG||
Project Bloks|KZ|PROJECT-A LTD|scoreC
Project GTel|CN||
Project Pink|ECS|PROJECT PINK PTY. LTD.|scoreA
Promed SPRL|CD||
Promedis & CMLIM|PL|PROMEDIS SP. Z O.O.|scoreB
Prominox|MA|MAROCAINE DE LA PROMOTION D'INOX (STE) (Alias: PROMINOX)|scoreA
Pronet|TR|PRONET MIMARLIK MUHENDISLIK INSAAT VE SANAYI A S|scoreD
Pronto!|UY|KEDAL SA (Alias: PRONTO!)|scoreA
Propalma|MX|PROCESADORA PALMA SA DE CV|scoreE
ProSky|WLD|PRO SKY AG|scoreA
Provus Romania|RO||
PT Cipta Retail Prakarsa|ID|PT CIPTAMEGA INFRASARANA|scoreD
PT Mount Scopus International|ID|MOUNT SCOPUS INDONESIA, PT|scoreB
PT Mount Scopus International|ID|MOUNT SCOPUS INDONESIA, PT|scoreB
PT. IBS|ID|PT IBS INSURANCE BROKING SERVICE|scoreD
PTT Family F&B Singapore|ID||
PYYX|CN||
QFI|MU||
Qiakr|CN||
QILI|CN|CHERRY (SUZHOU) GARMENT CO., LTD.|scoreB
QSR|VN|QSR MANAGEMENT JOINT STOCK COMPANY|scoreB
QTVT|VN||
Quick Print|CD||
RaceGame|MZ||
Ramanas|AFR|RAMANA ZARA DE OLIVEIRA DA COSTA (Alias: RAMANAS)|scoreA
Rameda|EG|TENTH OF RAMADAN FOR PHARMACEUTICAL INDUSTRIES AND DIAGNOSTIC REAGENTS (Alias: RAMEDA)|scoreA
Rancher Labs|CN||
RDIL|KE||
RE Connect|IN|GEO CONNECT LIMITED|scoreC
Ready Planet|TH||
Red Cap DevCo|ZA|RED CAP BRANDING (PTY) LTD|scoreB
RedDoorz|ID||
REDI Platform|MX||
Reef Hout|CM||
Regimanuel|GH|REGIMANUEL GRAY LIMITED|scoreC
Regional Cellula|RU|REGIONAL JOINT STOCK COMMERCIAL BANK 'MOSKVA'|scoreB
Reliable Concret|KE|RELIANCE CONCRETE PRODUCTS KENYA LIMITED|scoreE
Rentandes|CO|RENTANDES S A|scoreA
Restaurant 3 Sty|MG|RESTAURANT DE CHINE|scoreE
Reva Drilling|MG||
Revive|IN|REVIVE REALTY LIMITED|scoreB
Rhobomile|MX||
Rhythm Image Media|WLD|IMAGE MEDIA|scoreB
Ribquark|CN||
Richcore|IN|RICHCORE LIFESCIENCES PRIVATE LIMITED|scoreB
Riggs Ventire  WA|NG|RIGGS VENTURES WEST AFRICA PLC|scoreE
Rinac|IN|RINAC INDIA LIMITED|scoreB
riskdata|RU||
River Security|CN||
Riziki Kimilili|KE||
RMG Concept|GH||
Robby|US|ROBBY INC|scoreA
Robins Park|ZA|ROBIN'S PLACE CC|scoreC
Robinson|TH|ROBINSON PUBLIC COMPANY LIMITED|scoreA
Rocklands Mills|SZ||
RomHldg-DragnStr|RO||
RomRealEstate|RO||
Rotomag|IN|ROTOMAN PVT LTD|scoreB
Rqubed|ZA|RQUBED CONSULTANTS (PTY) LTD|scoreB
RTV|AR|RTV SA|scoreA
Sachal Radio|PK||
Samuel Filimoni|ZA||
Sansa Art|SG|THE SANSARA|scoreB
Sapala|IN|SAPALA ORGANICS PRIVATE LIMITED|scoreB
Sara Capital|GH||
SAT|BR|SAT SERVICE TERCEIRIZACAO DE MAO DE OBRA LTDA (Alias: SAT)|scoreA
Satin|IN|SATIN WEAVES PVT LTD|scoreB
Satin Credit|IN|SATISH CREDITS PVT LTD|scoreC
Savcio|AFR|SAVCIC|scoreB
Save-A-Lot|GT|SAVE MONEY|scoreD
SC Auto Africa|AFR|SC AUTO SIA|scoreB
Scitum Integraio|MX|SCITUM SA DE CV|scoreB
Scoutible|WLD|SCOUTIBLE INC|scoreA
SDL - Sabuni|TZ||
Senbus|SN||
Sensity|US|SENSIT INC|scoreB
Sensoro|CN||
Serve Investment|NA|SERVO INVESTMENTS (PROPRIETARY) LIMITED|scoreB
Servicios Caset|MX|SERVICIO CASETA EL DORADO SA|scoreB
Setcar holding LTD|RU||
Setcar holding LTD|RU||
Setfin Cash Intransit Limited|ZM||
Seven Oceans Fish Processing|BD||
SFC Africa|TN|MIC AFRICA|scoreC
Shanghai Kelaibo|CN|SHANG HAI KE LAI FU SHI YOU XIAN GONG SI|scoreB
Shared Services|MX|PHARMA SHARED SERVICES SA DE CV|scoreB
Sharekhan|IN|SHAREKHAN LIMITED|scoreA
SHB|CN||
Shearwater|WLD|SHEARWATER|scoreA
Shiguang Caibei|CN|GUANGCAI( BAOTOU ) INDUSTRIAL CO.,LTD|scoreE
Shop Clues|IN|CLUES NETWORK PRIVATE LIMITED|scoreE
SiberianNetworks|RU|SIBERIAN NEWSPAPER|scoreD
SIC (Shams)|EG||
Sideco Printing|MG||
Sierra Lighthous|SL||
Siim Tech|HK|SIM TECH TRADE LIMITED|scoreD
Silkroute|IN|SILKROUTE EXIM PRIVATE LIMITED|scoreB
Silvan|IN|SILVAN CHEMICAL PRIVATE LIMITED|scoreB
Sinemia|TR|SINEM BAY|scoreB
Sino-Agri Bio|CN|SINO-AGRI EQUIPMENT CO., LTD.|scoreC
SinowayCosmetics|CN||
SIRAC SA|ZA|SIRACE (PTY) LTD|scoreC
SITUSA|MX||
Sixup|WLD|SIXUP CORPORATION|scoreA
Skard Special Needs Support|MW||
SKE|ID||
Sky Atlas|TR||
Skye CAPIC|NG||
SlimSun|ZA|SLIMSUN (RF) (PTY) LTD (Previous name: SLIMSUN (PTY) LTD)|scoreA
Smagars|KZ||
SMI - Q|ID|SMIV|scoreD
Snabizz|IN||
SoarOS|CN||
SODEP|CD||
Sogetra SPRL|CD||
SoGood|CD||
SOK Insurance|RU|SOS INSURANCE|scoreB
SOLARIC|BD||
Sosyo Insider|TR||
Southey|ZA|SOUTHEY GROUP (PTY) LTD|scoreB
Southey|ZA|SOUTHEY GROUP (PTY) LTD|scoreB
Southgate|ID||
Space Monkey|MX||
Spaces|US|SPACES|scoreA
Spaceship|AU|SPACESHIPS PTY LIMITED|scoreB
Spandana|IN|SPANDANA FOODS PRIVATE LIMITED|scoreB
Sport et Loisirs|TN|STE SPORT EL LOISIRS|scoreA
Sportz Village|IN|JUNIOR SPORTS AND SERVICES PRIVATE LIMITED|scoreE
Spykar|IN|SPYKAR LIFESTYLES PRIVATE LIMITED|scoreB
SQ Real Estate|CN||
SRLL|IN||
SSD Tech|BD||
Starman|EE|STARMAN AS AMETIUHING|scoreA
Stars Business|CD||
Starwind|UA||
Stellar Inv|KE|STELLAR GYM|scoreC
Step Group|AE|STELLAR GROUP - LLC - ABU DHABI BRANCH|scoreE
Stochastics Software|RU||
Strategic Global|GH|STRATEGIC GLOBAL ALLIANCE INC.|scoreB
Subway|GE||
Sunar Assets|SV||
Sunduzwayo|MW||
Sunpreme|CN||
Surgutneftegaz|RU|SURGUTNEFTEGAS OPEN JOINT STOCK COMPANY (Alias: OAO SURGUTNEFTEGAZ)|scoreA
Suryodaya|IN|SURYODAYA PLASTICS LIMITED|scoreB
Susu Microfinance|NG||
Swadhaar (SFPL)|IN||
Swizza|UA||
Syncom|SSA|ATEA A/S (Alias: SYNCOM A/S)|scoreA
Tabac -Equity Bank|KE|EQUITY BANK (KENYA) LIMITED|scoreC
Talma|PE|TALMA SA|scoreA
Tandu Alarm|KE||
tapucom|TR||
Target Cranes|ZA|BABCOCK PLANT SERVICES (PTY) LTD (Previous name: TARGET CRANES (PTY) LTD)|scoreA
Tascom|RU|TASCOM LTD|scoreA
TatilSepeti|TR|TATILSEPETI|scoreA
TBG|ID||
T-Bistro|ID||
TCBuen|CO|SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S A|scoreE
TCX Portfolio|WLD||
Teachable|WLD|TEACHABLE LTD|scoreA
Tecpro Engineers|IN|TECPRO ENGINEERS LIMITED|scoreA
Tecpro Power|IN|TECPRO POWER SYSTEMS LIMITED|scoreB
TeleDNA|IN|TELEDNA COMMUNICATIONS PRIVATE LIMITED|scoreB
TeNet II|IN|TENET HOLDINGS PRIVATE LIMITED|scoreE
Teracom|IN|TERACOM LIMITED|scoreA
Termoemcali|CO|TERMOEMCALI I S A E S P|scoreC
TESSOL|IN||
The Ok Food Store Limited|ZM|CROWN FOOD INGREDIENTS LIMITED|scoreE
The Vibe Limited|ZM||
Thimar Palestine|PS||
Thriveni|IN|THRIVENI EARTHMOVERS PRIVATE LIMITED|scoreB
Thyrocare|IN|THYROCARE TECHNOLOGIES LIMITED|scoreB
Tiangong|CN||
TiAuto|ZA|TIAUTO (PTY) LTD|scoreA
Tiba Group|EG|TIBA GROUP|scoreA
Tiejia|CN||
Tishona|NG||
TOG|CI||
TOG|CI||
Toitoi|NA||
Top League|RU||
Topcare Feeds|KE|TOP CARE REALTERS LIMITED|scoreE
Touax Africa|MA||
Towndoor Media|CN||
Trans Capital|ZA|T C TREASURY (PTY) LTD (Previous name: TRANS CAPITAL (PTY) LTD)|scoreA
Tree Tops Academ|KE||
Trendtech|TR|TRENDTECH AND RETROMEDIA|scoreC
TriCity Platform|BR||
Triple P|LR||
Tripsters GLobal|CN||
T'sar Island|MG|TSAR'ISLAND|scoreA
Tsarichanskoye|RU|TSARICHANSKII IGOR BORISOVICH|scoreD
TTPC|CN||
Tucan|PE|TUCAN EL SOL SRL|scoreB
Tujijenge|TZ|TUJIJENGE (TANZANIA) LIMITED|scoreB
TV Club|RU|TVCLUB|scoreA
TwinCare|ZA|OLD TWINCARE (PTY) LTD|scoreA
TWU|ID|TRI WAROKO UTAMA, PT|scoreE
UAP Holdings|KE|UAP HOLDINGS LTD|scoreA
UBA|NG|UBA PLC|scoreA
UEP II|PA|UEP PENONOME II S.A.|scoreB
UHG|TR|UHG HAZIR GIYIM PAZARLAMA TICARET ANONIM SIRKETI|scoreD
UISEE|CN||
Ukraine Direct|UA||
ULA|MX|COMERCIALIZADORA ULA SA|scoreB
Ulink Group|CN|U-LINK GROUP LIMITED|scoreA
Ultimo Group|PL|ULTIMATE GROUP SP. Z O.O.|scoreC
Universal Ind|ZA|UNIVERSALITY (PTY) LTD|scoreB
Uno Bakery|TR||
Upiter|KZ|UPITER GLOBAL SYSTEMS|scoreE
Urbano|PE|URBAN SAC|scoreB
UTB Sierra Leone|SL|BANK of SIERRA LEONE|scoreB
UTS|IN|UTS INFRATEL PRIVATE LIMITED|scoreB
Vacmet|IN|VACMET INDIA LIMITED|scoreB
Validata|BG|VALIDATA DEVELOPMENT EOOD|scoreB
Varthana|IN||
Varthana|IN||
VBHC Education|IN||
Vcount|TR|V COUNT TEKNOLOJI ANONIM SIRKETI|scoreE
Veerhouse|HT||
VEIL C-Shares|VN||
Veil underlying|VN||
Vendebita|RU|VENDEMIYA|scoreB
Venezia Ice|MA|VENEZIA COM|scoreC
VentureEast Drug|IN|VENTUREAST DRUG DISCOVERY SERVICES PRIVATE LIMITED|scoreB
VersaMe|WLD|VERSAME INC|scoreA
Vesta Corp|MX|VESTAL SA (Alias: VESTA (TIJUANA))|scoreA
Vested Finance|WLD|VESTED FINANCE INC|scoreA
Vetauto|MG|VETAUTO & 4X4 SERVICE|scoreE
VGN|NG||
Viathan Power|NG||
Vidal|IN|VIDAL MERCANTILE PRIVATE LIMITED|scoreB
Vidy V|MG||
Viena Group|BR|SIENA HOLDING GROUP LTD. (Alias: SIENA GROUP)|scoreB
Vinafco|VN|VINAFCO JOINT STOCK CORPORATION|scoreA
Vital|RU|VITAL|scoreA
Vitalux|UA|VITALYUKS TOV|scoreE
Vivaldroni|RU||
VivaLink|CN||
Vivo  Energy|AFR|VIVO ENERGY PLC|scoreA
Vivo  Energy|AFR|VIVO ENERGY PLC|scoreA
VMCEE|PL|MOBILE COMPUTING & ENTERTAINMENT SP. Z O.O.|scoreE
VN Direct|VN||
Vocate|WLD|VOCATE LTD|scoreA
Vodocanalstroy|KZ||
Volga Gas|RU|VOLGAGAZ|scoreB
Volga Sumo Holdings|RU|VOLGA-STROI-KHOLDING|scoreB
Volt|TR|VOLT ELEKTRIK MOTOR SANAYI VE TICARET A S|scoreD
VTPL|IN|VTPL SOLUTIONS PRIVATE LIMITED|scoreB
VUS Holdco|VN||
VUS Vietnam|VN|US VIETNAM JOINT STOCK COMPANY|scoreC
V-Wallet|CN||
Vysr Tech|IN||
WAL Zbird|CN||
Wanderu|MX|WANDERER SA|scoreC
WatchBanQ Ventures|HK|WATCHBANQ LIMITED|scoreC
Weiche|CN|SUN LONG COMPANY LIMITED|scoreB
WeKair|CN||
Wellspring|VN|SSG EDUCATION|scoreE
Wen Inc|SL||
Wenice|TR|WENICE COCUK GIYIM- AHMET CENGIZ NILSU|scoreE
WeShare|CN|WE SHARE COMPANY LIMITED|scoreA
WestCall|RU|WEST CALL LTD|scoreA
White Pole|SL||
WriteLab|WLD|WRITELAB|scoreA
WriteLab|WLD|WRITELAB|scoreA
WWB|GH||
Wydr|IN||
XAC|MN|XAC-GE LLC|scoreC
Xingin International|CN||
XINJU|CN||
XXSekerbank|TR|SEKERBANK T.A.S.|scoreE
Yaowang|CN|SHI YAO WANG ( BEI JING ) KE JI FA ZHAN YOU XIAN GONG SI|scoreC
YiDingHuo|CN||
Yingliu|CN|YINGLI GROUP CO., LTD.|scoreB
YKROK|IN|"YOUR KIDS ""R"" OUR KIDS (INDIA) PVT LTD"|scoreE
York Park|ZM||
Zaitseva|KZ||
Zamani|CD||
ZHIXIANG|CN|WISE CONCEPT LIMITED|scoreA
Zhiyang|CN||
Zhuge IO|CN||
ZIP San Juan|HN|VIENTOS DE SAN JUAN S.A. DE C.V.|scoreD
