original_name|country_code|mapped_name|mapping_score
BLL Mezz|RU|BIZNESLAINLOGISTIK (Alias: BLL)|scoreB
Bloomboard|WLD|BLOOMBOARD SP. Z O.O.|scoreA
Bo s Coffee|PH|ZEN'S COFFEE N FLOWERS CORP.|scoreD
BOA Kenya|KE|BOC KENYA LTD|scoreB
BOAK|KE||
BOAT|TZ|BOAT TRAVELS (T) LIMITED|scoreC
BOAU|UG||
"""Border Media Partners (""""BMP"""")"""|MX|SOCIAL MEDIA PARTNERS SA DE CV|scoreD
Botofogo|BR|BOTOFOGA LIMITED|scoreC
BRA|BR|NAT-PNX VIAGENS E TURISMO LTDA (Alias: BRA NATAL)|scoreA
Brainly|WLD|BRAINLY SP. Z O.O.|scoreA
Brandcorp|ZA|BRANDCORP (PTY) LTD|scoreA
Brawijaya|ID|BRAWIJAYA APARTMENT|scoreB
BRICo|KH||
Brightbytes|WLD|BRIGHTBYTES INC|scoreA
Brilliant|WLD|BRILLIANT AG|scoreA
Brookfld Hilltop|SL||
Brookhouse|KE|BROOKHOUSE SUPERMARKET|scoreB
Brookside|KE|BROOKSIDE GROUP LIMITED|scoreB
Buildmax|ZA|BUILDMAX LIMITED|scoreA
Buildworks|ZA|CONSOLIDATED INFRASTRUCTURE GROUP LIMITED (Previous name: BUILDWORKS GROUP LIMITED)|scoreB
Bunker's Group|MX|BUNKER S|scoreB
Bunnings HHL|VU||
Burren Energy|TM||
Busby|ZA|BUSBY (PTY) LTD|scoreA
Busby|ZA|BUSBY (PTY) LTD|scoreA
BusLeasingKazak|KZ||
C Pharmaceutical|CN||
Cables Holding|KE|CABLE HOLDINGS (KENYA) LTD|scoreB
Caijing|CN|CAIJING( BEIJING )YINGSHI MANUFACTURE CENTER|scoreB
CambridgeMedical|AE||
Camran|ZM||
Canvest|CN||
CAOS Apparels|IN||
CAP - Tunisia|TN|CAP TUNISIE|scoreA
CAP Senegal|SN|CAPI SENEGAL|scoreC
Capa de Ozono|MX|CAPA DE OZONO|scoreA
Cape Olive|ZA|CAPE OLIVE PRODUCTS (PTY) LTD|scoreB
Cape Pine|ZA|MTO FORESTRY (PTY) LTD (Alias: CAPE PINE)|scoreA
CAPETEL|NG||
Capic Hexagon|NG||
Carbon Holdings|EG|CARBON HOLDINGS LTD (Alias: EGYPT CARBON HOLDINGS)|scoreA
Carbon Holdings|EG|CARBON HOLDINGS LTD (Alias: EGYPT CARBON HOLDINGS)|scoreA
CardTek|TR|KARTEK KART VE BILISIM TEKNOLOJILERI TICARET ANONIM SIRKETI|scoreE
Caritas|PE|CARITAS ABANCAY|scoreA
Carsing|CN||
Carthero|IN|CARTHERO TECHNOLOGIES PRIVATE LIMITED|scoreB
CBG Compagnie de Bois Du Gabon|GA|COMPAGNIE DES BOIS DU GABON|scoreB
CCS Ceska|CZ|MTS CESKA SRO|scoreD
CDH Holdings|CN||
CEAL|MU|CEAL LTD|scoreA
CeasarMex|MX||
Cecilia|IN|CECILIA INFRASTRUCTURE LIMITED|scoreB
CEECAT Finans|KY||
CEECAT Holdings|KY||
Cellcom Holdings|TN||
Celsol|MX|CELSOL SA DE CV|scoreA
Celtel|AFR|CEL TEL|scoreA
CEMAR|BR|COMPANHIA ENERGETICA DO MARANHAO (Alias: CEMAR)|scoreA
Cenpower Ltd|GH||
Central Lav|BR|CENTRAL LAV MINAS GERAIS LTDA (Alias: CENTRAL LAV)|scoreA
Central Parking|MX|CENTRAL PARKING SYSTEM MEXICO, S.A. DE C.V.|scoreB
Centrale Laitier|MNA|CENTRALE DANONE SA (Previous name: SOCIETE CENTRALE LAITIERE SA)|scoreB
Cepro|DZ|CEPRO|scoreA
Ceprodel|NI||
Ceramica S.A|RO|CERAMICA SA|scoreA
CGE Grand|CN||
Chanero|UA||
Charlestown|KE||
Chase Bank Ke|KE|CHASE BANK (KENYA) LIMITED|scoreB
CHC China|CN|HUASU HOLDINGS CO., LTD. (Previous name: CHINA T.H. CO., LTD.)|scoreC
Chemica Limited|PG|PETRO-CHEMICAL CO. LIMITED|scoreB
Chilon Security Services|MW||
China Digitone|CN||
China Kanghui|CN|CHINA KANGHUI TRAVEL AGENCY CO.,LTD|scoreB
China Tuna Industry Group Holdin|CN|CHINA INDUSTRY HOLDING GROUP LIMITED|scoreB
Chuchujie|CN||
Ciel Healthcare|MU|CIEL HEALTHCARE LIMITED|scoreA
Ciel Healthcare|MU|CIEL HEALTHCARE LIMITED|scoreA
CISG|CN||
Citivox|MX||
Ciudad Victoria|MX|LA PRIMAVERA CD VICTOR SA (Alias: LA PRIMAVERA DE CIUDAD VICTORIA SA DE CV)|scoreB
CKC|EG||
cKers|IN|CKERS FINANCE PRIVATE LIMITED|scoreB
Cleanline Linen|LK||
Cleopatra Hosp|EG|CLEOPATRA HOSPITAL|scoreC
Clickonero|MX|GROUP BUYING GLOBAL OF MEXICO SA|scoreE
Climb Credit|WLD|CLIMB CREDIT|scoreA
CMF  STEOTI|TN|STE CMF DISTRIBUTION|scoreE
COAC Jardin|PE||
Codoon|CN|CHENGDU YUEDONG INFORMATION TECHNOLOGY CO., LTD|scoreE
Coins|PH|GOLD COINS STEEL PHILS. CORPORATION|scoreE
Comat|IN|COMAT TECHNOLOGIES PRIVATE LIMITED|scoreB
Comunidades|MX|COMUNIDAD AC|scoreB
Concord Enviro|IN|CONCORD ENVIRO SYSTEMS PRIVATE LIMITED|scoreB
Connect|IN|CONNECT JAIPUR|scoreA
Cont. Milano|MX||
Continental Mach|LR|CONTINENTAL TRUSTEES LTD|scoreE
Continental Outdoor Media|ZA|JCDECAUX SOUTH AFRICA (PTY) LTD (Previous name: CONTINENTAL OUTDOOR MEDIA (PTY) LTD)|scoreA
